"jahr";"nr";"gemeinde";"konto";"funktion";"betrag"
"2021";"091707";"Risch";"100";"";"11099809.68"
"2021";"091707";"Risch";"101";"";"3886094.49"
"2021";"091707";"Risch";"102";"";"15100000.00"
"2021";"091707";"Risch";"104";"";"6876908.73"
"2021";"091707";"Risch";"107";"";"2290260.80"
"2021";"091707";"Risch";"108";"";"32659188.00"
"2021";"091707";"Risch";"140";"";"63888356.23"
"2021";"091707";"Risch";"142";"";"213000.49"
"2021";"091707";"Risch";"145";"";"2700000.00"
"2021";"091707";"Risch";"146";"";"338129.14"
"2021";"091707";"Risch";"148";"";"-34159038.82"
"2021";"091707";"Risch";"200";"";"7251827.14"
"2021";"091707";"Risch";"204";"";"9047398.67"
"2021";"091707";"Risch";"205";"";"111800.00"
"2021";"091707";"Risch";"208";"";"104500.00"
"2021";"091707";"Risch";"290";"";"2082016.54"
"2021";"091707";"Risch";"294";"";"42500000.00"
"2021";"091707";"Risch";"299";"";"43795166.39"
"2021";"091707";"Risch";"300";"01";"528308.80"
"2021";"091707";"Risch";"300";"02";"50352.95"
"2021";"091707";"Risch";"300";"21";"9852.50"
"2021";"091707";"Risch";"300";"29";"272.40"
"2021";"091707";"Risch";"300";"57";"3666.30"
"2021";"091707";"Risch";"301";"02";"3031165.50"
"2021";"091707";"Risch";"301";"14";"203317.00"
"2021";"091707";"Risch";"301";"15";"305541.05"
"2021";"091707";"Risch";"301";"21";"2899684.90"
"2021";"091707";"Risch";"301";"29";"211787.70"
"2021";"091707";"Risch";"301";"32";"213515.95"
"2021";"091707";"Risch";"301";"34";"235082.05"
"2021";"091707";"Risch";"301";"53";"34340.00"
"2021";"091707";"Risch";"301";"54";"697546.75"
"2021";"091707";"Risch";"301";"57";"1137120.25"
"2021";"091707";"Risch";"301";"61";"822170.00"
"2021";"091707";"Risch";"301";"72";"63190.45"
"2021";"091707";"Risch";"301";"77";"6278.15"
"2021";"091707";"Risch";"302";"21";"13146165.25"
"2021";"091707";"Risch";"303";"21";"69608.70"
"2021";"091707";"Risch";"305";"01";"101655.30"
"2021";"091707";"Risch";"305";"02";"702076.73"
"2021";"091707";"Risch";"305";"14";"35880.00"
"2021";"091707";"Risch";"305";"15";"9871.85"
"2021";"091707";"Risch";"305";"21";"3299705.20"
"2021";"091707";"Risch";"305";"29";"38032.60"
"2021";"091707";"Risch";"305";"32";"43442.95"
"2021";"091707";"Risch";"305";"34";"47139.95"
"2021";"091707";"Risch";"305";"53";"6060.00"
"2021";"091707";"Risch";"305";"54";"126476.90"
"2021";"091707";"Risch";"305";"57";"249772.50"
"2021";"091707";"Risch";"305";"61";"180617.80"
"2021";"091707";"Risch";"305";"72";"14632.37"
"2021";"091707";"Risch";"305";"77";"538.70"
"2021";"091707";"Risch";"306";"53";"130233.95"
"2021";"091707";"Risch";"309";"02";"260212.41"
"2021";"091707";"Risch";"309";"11";"22950.00"
"2021";"091707";"Risch";"309";"15";"3910.00"
"2021";"091707";"Risch";"309";"21";"184440.60"
"2021";"091707";"Risch";"309";"29";"556.80"
"2021";"091707";"Risch";"309";"57";"700.00"
"2021";"091707";"Risch";"309";"61";"1946.35"
"2021";"091707";"Risch";"310";"02";"234004.79"
"2021";"091707";"Risch";"310";"11";"7005.60"
"2021";"091707";"Risch";"310";"15";"9116.70"
"2021";"091707";"Risch";"310";"21";"642226.37"
"2021";"091707";"Risch";"310";"29";"2742.70"
"2021";"091707";"Risch";"310";"32";"81207.30"
"2021";"091707";"Risch";"310";"34";"56651.25"
"2021";"091707";"Risch";"310";"54";"52939.67"
"2021";"091707";"Risch";"310";"57";"1904.80"
"2021";"091707";"Risch";"310";"61";"63348.64"
"2021";"091707";"Risch";"310";"62";"121.85"
"2021";"091707";"Risch";"310";"73";"15740.80"
"2021";"091707";"Risch";"310";"74";"14.00"
"2021";"091707";"Risch";"310";"77";"218.65"
"2021";"091707";"Risch";"311";"02";"208043.80"
"2021";"091707";"Risch";"311";"15";"137037.50"
"2021";"091707";"Risch";"311";"21";"159323.52"
"2021";"091707";"Risch";"311";"29";"435.15"
"2021";"091707";"Risch";"311";"32";"5968.00"
"2021";"091707";"Risch";"311";"34";"62176.65"
"2021";"091707";"Risch";"311";"54";"26522.70"
"2021";"091707";"Risch";"311";"61";"46697.85"
"2021";"091707";"Risch";"312";"02";"150779.43"
"2021";"091707";"Risch";"312";"15";"37930.05"
"2021";"091707";"Risch";"312";"21";"295883.75"
"2021";"091707";"Risch";"312";"34";"114267.35"
"2021";"091707";"Risch";"312";"54";"9580.30"
"2021";"091707";"Risch";"312";"57";"3054.35"
"2021";"091707";"Risch";"312";"61";"163939.14"
"2021";"091707";"Risch";"312";"62";"9154.50"
"2021";"091707";"Risch";"312";"72";"100.00"
"2021";"091707";"Risch";"312";"74";"69.25"
"2021";"091707";"Risch";"312";"77";"1045.00"
"2021";"091707";"Risch";"313";"01";"45279.35"
"2021";"091707";"Risch";"313";"02";"883042.22"
"2021";"091707";"Risch";"313";"11";"79324.50"
"2021";"091707";"Risch";"313";"15";"48469.00"
"2021";"091707";"Risch";"313";"21";"309377.11"
"2021";"091707";"Risch";"313";"29";"1286.05"
"2021";"091707";"Risch";"313";"32";"8871.85"
"2021";"091707";"Risch";"313";"34";"45000.40"
