"jahr";"nr";"gemeinde";"konto";"funktion";"betrag"
"2018";"173442";"Gaiserwald";"100";"";"17777390.38"
"2018";"173442";"Gaiserwald";"101";"";"10016051.84"
"2018";"173442";"Gaiserwald";"104";"";"287607.80"
"2018";"173442";"Gaiserwald";"108";"";"5865873.85"
"2018";"173442";"Gaiserwald";"140";"";"13692000.00"
"2018";"173442";"Gaiserwald";"144";"";"2633600.00"
"2018";"173442";"Gaiserwald";"146";"";"1761000.00"
"2018";"173442";"Gaiserwald";"200";"";"13130844.51"
"2018";"173442";"Gaiserwald";"201";"";"890928.06"
"2018";"173442";"Gaiserwald";"204";"";"896508.91"
"2018";"173442";"Gaiserwald";"205";"";"150300.00"
"2018";"173442";"Gaiserwald";"206";"";"18613614.40"
"2018";"173442";"Gaiserwald";"290";"";"3716259.87"
"2018";"173442";"Gaiserwald";"299";"";"14635068.12"
"2018";"173442";"Gaiserwald";"300";"01";"279348.80"
"2018";"173442";"Gaiserwald";"300";"15";"1120.00"
"2018";"173442";"Gaiserwald";"300";"21";"148179.80"
"2018";"173442";"Gaiserwald";"300";"72";"480.00"
"2018";"173442";"Gaiserwald";"301";"02";"1257155.05"
"2018";"173442";"Gaiserwald";"301";"14";"580884.40"
"2018";"173442";"Gaiserwald";"301";"15";"243548.25"
"2018";"173442";"Gaiserwald";"301";"21";"1863867.30"
"2018";"173442";"Gaiserwald";"301";"31";"8142.25"
"2018";"173442";"Gaiserwald";"301";"32";"7890.10"
"2018";"173442";"Gaiserwald";"301";"34";"45160.65"
"2018";"173442";"Gaiserwald";"301";"43";"31689.50"
"2018";"173442";"Gaiserwald";"301";"53";"15438.80"
"2018";"173442";"Gaiserwald";"301";"54";"110576.10"
"2018";"173442";"Gaiserwald";"301";"57";"221100.95"
"2018";"173442";"Gaiserwald";"301";"61";"343601.55"
"2018";"173442";"Gaiserwald";"301";"72";"24080.00"
"2018";"173442";"Gaiserwald";"301";"77";"11980.00"
"2018";"173442";"Gaiserwald";"302";"21";"9446534.80"
"2018";"173442";"Gaiserwald";"305";"01";"46381.60"
"2018";"173442";"Gaiserwald";"305";"02";"222312.95"
"2018";"173442";"Gaiserwald";"305";"14";"110095.45"
"2018";"173442";"Gaiserwald";"305";"15";"11799.90"
"2018";"173442";"Gaiserwald";"305";"21";"1986327.95"
"2018";"173442";"Gaiserwald";"305";"31";"323.05"
"2018";"173442";"Gaiserwald";"305";"32";"573.00"
"2018";"173442";"Gaiserwald";"305";"34";"8822.60"
"2018";"173442";"Gaiserwald";"305";"43";"309.00"
"2018";"173442";"Gaiserwald";"305";"53";"3062.85"
"2018";"173442";"Gaiserwald";"305";"54";"16492.00"
"2018";"173442";"Gaiserwald";"305";"57";"31373.40"
"2018";"173442";"Gaiserwald";"305";"61";"66771.55"
"2018";"173442";"Gaiserwald";"305";"72";"3533.10"
"2018";"173442";"Gaiserwald";"305";"77";"1073.25"
"2018";"173442";"Gaiserwald";"309";"01";"1485.40"
"2018";"173442";"Gaiserwald";"309";"02";"55189.15"
"2018";"173442";"Gaiserwald";"309";"15";"102914.95"
"2018";"173442";"Gaiserwald";"309";"21";"98075.20"
"2018";"173442";"Gaiserwald";"309";"54";"3462.00"
"2018";"173442";"Gaiserwald";"309";"57";"2845.00"
"2018";"173442";"Gaiserwald";"309";"61";"3345.90"
"2018";"173442";"Gaiserwald";"310";"01";"32684.40"
"2018";"173442";"Gaiserwald";"310";"02";"20559.65"
"2018";"173442";"Gaiserwald";"310";"14";"5248.30"
"2018";"173442";"Gaiserwald";"310";"15";"19635.40"
"2018";"173442";"Gaiserwald";"310";"16";"416.20"
"2018";"173442";"Gaiserwald";"310";"21";"413435.38"
"2018";"173442";"Gaiserwald";"310";"31";"6770.15"
"2018";"173442";"Gaiserwald";"310";"33";"98859.90"
"2018";"173442";"Gaiserwald";"310";"34";"26284.55"
"2018";"173442";"Gaiserwald";"310";"43";"5833.00"
"2018";"173442";"Gaiserwald";"310";"53";"2406.40"
"2018";"173442";"Gaiserwald";"310";"54";"7082.13"
"2018";"173442";"Gaiserwald";"310";"57";"1501.30"
"2018";"173442";"Gaiserwald";"310";"61";"124599.80"
"2018";"173442";"Gaiserwald";"310";"72";"196.60"
"2018";"173442";"Gaiserwald";"310";"73";"6739.20"
"2018";"173442";"Gaiserwald";"310";"76";"1470.30"
"2018";"173442";"Gaiserwald";"310";"77";"1248.70"
"2018";"173442";"Gaiserwald";"310";"84";"2229.95"
"2018";"173442";"Gaiserwald";"311";"02";"36727.18"
"2018";"173442";"Gaiserwald";"311";"15";"99762.25"
"2018";"173442";"Gaiserwald";"311";"21";"529119.01"
"2018";"173442";"Gaiserwald";"311";"54";"254.90"
"2018";"173442";"Gaiserwald";"311";"61";"55111.70"
"2018";"173442";"Gaiserwald";"311";"72";"1869.00"
"2018";"173442";"Gaiserwald";"311";"73";"21789.10"
"2018";"173442";"Gaiserwald";"311";"77";"871.20"
"2018";"173442";"Gaiserwald";"312";"02";"15745.70"
"2018";"173442";"Gaiserwald";"312";"15";"37017.60"
"2018";"173442";"Gaiserwald";"312";"16";"6951.40"
"2018";"173442";"Gaiserwald";"312";"21";"265125.80"
"2018";"173442";"Gaiserwald";"312";"31";"2992.10"
"2018";"173442";"Gaiserwald";"312";"34";"10142.90"
"2018";"173442";"Gaiserwald";"312";"54";"1206.65"
"2018";"173442";"Gaiserwald";"312";"61";"54173.45"
"2018";"173442";"Gaiserwald";"312";"62";"1591.60"
"2018";"173442";"Gaiserwald";"312";"72";"1474.20"
"2018";"173442";"Gaiserwald";"312";"73";"520.00"
"2018";"173442";"Gaiserwald";"312";"77";"8893.45"
