"jahr";"nr";"gemeinde";"konto";"funktion";"betrag"
"2022";"010092";"Oberglatt";"100";"";"20803452.04"
"2022";"010092";"Oberglatt";"101";"";"10784174.54"
"2022";"010092";"Oberglatt";"104";"";"28385921.18"
"2022";"010092";"Oberglatt";"107";"";"7155.00"
"2022";"010092";"Oberglatt";"108";"";"9786229.50"
"2022";"010092";"Oberglatt";"140";"";"32498410.05"
"2022";"010092";"Oberglatt";"142";"";"131043.17"
"2022";"010092";"Oberglatt";"144";"";"4290218.79"
"2022";"010092";"Oberglatt";"145";"";"3345666.70"
"2022";"010092";"Oberglatt";"146";"";"25900.40"
"2022";"010092";"Oberglatt";"200";"";"15898974.09"
"2022";"010092";"Oberglatt";"204";"";"427969.51"
"2022";"010092";"Oberglatt";"205";"";"2750157.00"
"2022";"010092";"Oberglatt";"206";"";"4000000.00"
"2022";"010092";"Oberglatt";"208";"";"2015300.00"
"2022";"010092";"Oberglatt";"209";"";"496232.05"
"2022";"010092";"Oberglatt";"290";"";"19419070.08"
"2022";"010092";"Oberglatt";"299";"";"65050468.64"
"2022";"010092";"Oberglatt";"300";"01";"228062.40"
"2022";"010092";"Oberglatt";"300";"02";"31011.50"
"2022";"010092";"Oberglatt";"300";"15";"51190.20"
"2022";"010092";"Oberglatt";"300";"16";"2256.37"
"2022";"010092";"Oberglatt";"300";"21";"136024.90"
"2022";"010092";"Oberglatt";"300";"32";"1360.00"
"2022";"010092";"Oberglatt";"300";"53";"1480.00"
"2022";"010092";"Oberglatt";"300";"57";"58026.60"
"2022";"010092";"Oberglatt";"300";"61";"14022.80"
"2022";"010092";"Oberglatt";"300";"81";"3540.10"
"2022";"010092";"Oberglatt";"301";"02";"1391599.30"
"2022";"010092";"Oberglatt";"301";"12";"24428.20"
"2022";"010092";"Oberglatt";"301";"14";"502013.35"
"2022";"010092";"Oberglatt";"301";"15";"129503.90"
"2022";"010092";"Oberglatt";"301";"16";"1392.30"
"2022";"010092";"Oberglatt";"301";"21";"2020044.05"
"2022";"010092";"Oberglatt";"301";"29";"15860.65"
"2022";"010092";"Oberglatt";"301";"32";"71138.95"
"2022";"010092";"Oberglatt";"301";"34";"150981.25"
"2022";"010092";"Oberglatt";"301";"43";"18993.00"
"2022";"010092";"Oberglatt";"301";"54";"19948.70"
"2022";"010092";"Oberglatt";"301";"55";"21714.25"
"2022";"010092";"Oberglatt";"301";"57";"753792.95"
"2022";"010092";"Oberglatt";"301";"61";"266067.70"
"2022";"010092";"Oberglatt";"301";"71";"153704.15"
"2022";"010092";"Oberglatt";"301";"72";"90187.25"
"2022";"010092";"Oberglatt";"301";"73";"102163.55"
"2022";"010092";"Oberglatt";"301";"77";"92106.80"
"2022";"010092";"Oberglatt";"301";"82";"73440.00"
"2022";"010092";"Oberglatt";"301";"87";"42090.10"
"2022";"010092";"Oberglatt";"301";"96";"1828.55"
"2022";"010092";"Oberglatt";"302";"21";"1414665.90"
"2022";"010092";"Oberglatt";"304";"02";"10459.10"
"2022";"010092";"Oberglatt";"304";"12";"4800.00"
"2022";"010092";"Oberglatt";"304";"15";"5900.00"
"2022";"010092";"Oberglatt";"304";"21";"16993.70"
"2022";"010092";"Oberglatt";"304";"61";"26107.90"
"2022";"010092";"Oberglatt";"305";"01";"25876.87"
"2022";"010092";"Oberglatt";"305";"02";"266612.29"
"2022";"010092";"Oberglatt";"305";"12";"700.66"
"2022";"010092";"Oberglatt";"305";"14";"94225.24"
"2022";"010092";"Oberglatt";"305";"15";"9439.45"
"2022";"010092";"Oberglatt";"305";"16";"436.65"
"2022";"010092";"Oberglatt";"305";"21";"703380.30"
"2022";"010092";"Oberglatt";"305";"29";"1086.74"
"2022";"010092";"Oberglatt";"305";"32";"13078.59"
"2022";"010092";"Oberglatt";"305";"34";"26643.75"
"2022";"010092";"Oberglatt";"305";"43";"2297.81"
"2022";"010092";"Oberglatt";"305";"53";"67.74"
"2022";"010092";"Oberglatt";"305";"54";"1047.69"
"2022";"010092";"Oberglatt";"305";"55";"4053.23"
"2022";"010092";"Oberglatt";"305";"57";"162263.96"
