"arten","funk","d","f","i","e","dim","model"
"","7072","Ambulante medizinische Dienste","Services ambulatoires","Servizi ambulatoriali","Outpatient services","einnahmen_funk","gfs"
"","7073","Spitaldienste","Services hospitaliers","Servizi ospedalieri","Hospital services","einnahmen_funk","gfs"
"","7074","Öffentliche Gesundheit","Services de santé publique","Sanità pubblica","Public health services","einnahmen_funk","gfs"
"","7075","F-E im Bereich der Gesundheit","R-D dans le domaine de la santé","R&S in materia di sanità","R&D Health","einnahmen_funk","gfs"
"","7076","Gesundheit n.a.g.","Santé n.c.a.","Sanità n.m.a.","Health n.e.c.","einnahmen_funk","gfs"
"","708","Freizeit, Kultur, Kirche","Loisirs, culture et culte","Ricreazione, cultura e religione","Recreation, culture and religion","einnahmen_funk","gfs"
"","7081","Freizeit und Sport","Loisirs et sports","Servizi ricreativi e sportivi","Recreational and sporting services","einnahmen_funk","gfs"
"","7082","Kultur","Services culturels","Servizi culturali","Cultural services","einnahmen_funk","gfs"
"","7083","Massenmedien","Mass media","Servizi di radiodiffusione e di edizione","Broadcasting and publishing services","einnahmen_funk","gfs"
"","7084","Kirchen und religiöse Angelegenheiten","Culte et autres services communautaires","Religione e attività religiose","Religious and other community services","einnahmen_funk","gfs"
"","7085","F-E im Bereich Freizeit, Kultur und Kirche","R-D dans le domaine des loisirs, de la culture et du culte","R&S in materia di ricreazione, cultura e religione","R&D Recreation, culture and religion","einnahmen_funk","gfs"
"","7086","Freizeit, Kultur, Kirche n.a.g.","Loisirs, culture et culte n.c.a.","Ricreazione, cultura e religione n.m.a.","Recreation, culture and religion n.e.c.","einnahmen_funk","gfs"
"","709","Bildung und Erziehung","Enseignement","Istruzione ed educazione","Education","einnahmen_funk","gfs"
"","7091","Vor- und Primarstufe","Enseignement préélémentaire et primaire","Istruzione prescolastica ed elementare","Pre-primary and primary education","einnahmen_funk","gfs"
"","7092","Sekundarstufe","Enseignement secondaire","Livello secondario","Secondary education","einnahmen_funk","gfs"
"","7093","Zweitausbildung nicht-tertiäre Stufe","Enseignement post-secondaire non supérieur","Istruzione superiore di livello non terziario","Post-secondary non-tertiary education","einnahmen_funk","gfs"
"","7094","Tertiärstufe","Enseignement supérieur","Livello terziario","Tertiary education","einnahmen_funk","gfs"
"","7095","Schulen ausserhalb des ord. Bildungsweges","Enseignement non défini par niveau","Scuole non classificabili secondo il sistema di istruzione per livelli ordinario","Education not definable by level","einnahmen_funk","gfs"
"","7096","Dienstleistungen für Schulen","Services annexes à l'enseignement","Servizi sussidiari dell'istruzione","Subsidiary services to education","einnahmen_funk","gfs"
"","7097","F-E in Bereich Bildung und Erziehung","R-D dans le domaine de l'enseignement","R&S in materia di istruzione e di educazione","R&D Education","einnahmen_funk","gfs"
"","7098","Bildung und Erziehung n.a.g.","Enseignement n.c.a.","Istruzione ed educazione n.m.a.","Education n.e.c.","einnahmen_funk","gfs"
"","710","Soziale Sicherheit","Protection sociale","Sicurezza sociale","Social protection","einnahmen_funk","gfs"
"","7101","Krankheit und Invalidität","Maladie et invalidité","Malattia e invalidità","Sickness and disability","einnahmen_funk","gfs"
"","7102","Alter","Vieillesse","Vecchiaia","Old age","einnahmen_funk","gfs"
"","7103","Hinterlassene","Survivants","Superstiti","Survivors","einnahmen_funk","gfs"
"","7104","Familie und Jugend","Famille et enfants","Famiglia e figli","Family and children","einnahmen_funk","gfs"
"","7105","Arbeitslosigkeit","Chômage","Disoccupazione","Unemployment","einnahmen_funk","gfs"
"","7106","Soziales Wohnungswesen","Logement social","Alloggi sociali","Housing","einnahmen_funk","gfs"
"","7107","Sozialhilfe und Asylwesen","Assistance sociale et domaine de l'asile","Aiuto sociale e settore dell'asilo","Social exclusion n.e.c.","einnahmen_funk","gfs"
"","7108","F-E im Bereich der sozialen Sicherheit","R-D dans le domaine de la protection sociale","R&S in materia di sicurezza sociale","R&D Social protection","einnahmen_funk","gfs"
"","7109","Soziale Sicherheit n.a.g.","Protection sociale n.c.a.","Sicurezza sociale n.m.a.","Social protection n.e.c.","einnahmen_funk","gfs"
