"jahr";"nr";"gemeinde";"konto";"funktion";"betrag"
"2017";"102293";"Düdingen";"100";"";"6455199.21"
"2017";"102293";"Düdingen";"101";"";"8149082.82"
"2017";"102293";"Düdingen";"102";"";"2393.21"
"2017";"102293";"Düdingen";"104";"";"1965068.65"
"2017";"102293";"Düdingen";"107";"";"1222950.90"
"2017";"102293";"Düdingen";"108";"";"4.00"
"2017";"102293";"Düdingen";"140";"";"29377234.55"
"2017";"102293";"Düdingen";"143";"";"11252394.25"
"2017";"102293";"Düdingen";"200";"";"1099990.22"
"2017";"102293";"Düdingen";"201";"";"2547956.64"
"2017";"102293";"Düdingen";"204";"";"319351.10"
"2017";"102293";"Düdingen";"206";"";"46211323.35"
"2017";"102293";"Düdingen";"208";"";"359948.60"
"2017";"102293";"Düdingen";"209";"";"2413779.62"
"2017";"102293";"Düdingen";"293";"";"897353.30"
"2017";"102293";"Düdingen";"299";"";"4574624.76"
"2017";"102293";"Düdingen";"300";"01";"281502.70"
"2017";"102293";"Düdingen";"300";"02";"34325.29"
"2017";"102293";"Düdingen";"301";"02";"1245060.46"
"2017";"102293";"Düdingen";"301";"14";"67921.10"
"2017";"102293";"Düdingen";"301";"15";"370803.43"
"2017";"102293";"Düdingen";"301";"16";"53137.25"
"2017";"102293";"Düdingen";"301";"21";"920002.43"
"2017";"102293";"Düdingen";"301";"32";"156854.65"
"2017";"102293";"Düdingen";"301";"34";"243611.32"
"2017";"102293";"Düdingen";"301";"43";"2239.45"
"2017";"102293";"Düdingen";"301";"53";"4995.90"
"2017";"102293";"Düdingen";"301";"57";"399368.05"
"2017";"102293";"Düdingen";"301";"61";"305758.43"
"2017";"102293";"Düdingen";"301";"62";"13770.00"
"2017";"102293";"Düdingen";"301";"72";"51557.73"
"2017";"102293";"Düdingen";"301";"73";"81150.44"
"2017";"102293";"Düdingen";"301";"74";"760.28"
"2017";"102293";"Düdingen";"301";"75";"906.10"
"2017";"102293";"Düdingen";"301";"77";"92386.66"
"2017";"102293";"Düdingen";"301";"79";"1242.87"
"2017";"102293";"Düdingen";"301";"81";"1369.01"
"2017";"102293";"Düdingen";"301";"82";"285.60"
"2017";"102293";"Düdingen";"301";"85";"5645.83"
"2017";"102293";"Düdingen";"302";"21";"25136.12"
"2017";"102293";"Düdingen";"304";"15";"23188.55"
