"Bezirk (>>) / Gemeinde (......)","Fläche Total 2013/18","-10 Künstlich angelegte Flächen 2013/18",">>10.11 Befestigte Flächen 2013/18",">>10.12 Gebäude 2013/18",">>10.13 Treibhäuser 2013/18",">>10.14 Beetstrukturen 2013/18",">>10.15 Rasen 2013/18",">>10.16 Bäume auf künstlich angelegten Flächen 2013/18",">>10.17 Gemischte Kleinstrukturen 2013/18","-20 Gras-, Krautvegetation 2013/18",">>20.21 Gras-, Krautvegetation 2013/18","-30 Gebüschvegetation 2013/18",">>30.31 Gebüsch 2013/18",">>30.32 Verbuschte Flächen 2013/18",">>30.33 Niederstammobst 2013/18",">>30.34 Reben 2013/18",">>30.35 Gärtnerische Dauerkulturen 2013/18","-40 Baumvegetation 2013/18",">>40.41 Geschlossene Baumbestände 2013/18",">>40.42 Waldecken 2013/18",">>40.43 Waldstreifen 2013/18",">>40.44 Aufgelöste Baumbestände 2013/18",">>40.45 Gebüschwaldbestände 2013/18",">>40.46 Lineare Baumbestände 2013/18",">>40.47 Baumgruppen 2013/18","-50 Vegetationslose Flächen 2013/18",">>50.51 Anstehender Fels 2013/18",">>50.52 Lockergestein 2013/18",">>50.53 Versteinte Flächen 2013/18","-60 Wasser und Feuchtflächen 2013/18",">>60.61 Wasser 2013/18",">>60.62 Gletscher, Firn 2013/18",">>60.63 Nassstandorte 2013/18",">>60.64 Schilfbestände 2013/18"
"8100",3999703,289381,152756,53940,1055,6429,41257,20615,13329,1390135,1390135,208022,87550,95006,7871,15111,2484,1311263,947062,7510,35481,124362,64313,35821,96714,638918,209124,272057,157737,161984,33682,103008,22926,2368
"-101",11305,1744,915,320,5,50,248,92,114,5904,5904,105,42,13,27,2,21,3235,2666,27,85,100,0,139,218,50,0,42,8,267,96,0,159,12
"1",790,97,57,16,0,1,8,7,8,392,392,5,0,4,1,0,0,248,199,1,13,6,0,10,19,0,0,0,0,48,30,0,16,2
"2",1054,290,143,66,0,6,45,15,15,436,436,9,7,0,1,0,1,308,265,4,4,7,0,14,14,2,0,2,0,9,2,0,7,0
"3",744,122,59,24,1,4,17,8,9,383,383,9,6,0,0,0,3,225,183,2,5,11,0,6,18,4,0,4,0,1,1,0,0,0
"4",1364,162,74,31,2,4,27,8,16,746,746,11,3,1,1,1,5,411,346,4,14,11,0,12,24,2,0,1,1,32,25,0,6,1
"5",655,122,60,14,1,2,25,12,8,304,304,8,6,2,0,0,0,215,200,0,0,6,0,4,5,2,0,1,1,4,2,0,2,0
"6",782,63,41,9,0,1,4,2,6,522,522,0,0,0,0,0,0,185,138,5,5,5,0,7,25,1,0,1,0,11,0,0,11,0
"7",649,98,66,15,0,2,11,3,1,403,403,4,1,0,2,1,0,126,99,1,5,2,0,5,14,4,0,3,1,14,1,0,13,0
"8",468,33,20,6,0,1,5,0,1,267,267,4,1,0,2,0,1,116,92,0,2,7,0,8,7,6,0,4,2,42,2,0,39,1
"9",1305,188,105,39,1,8,21,4,10,815,815,20,5,0,11,0,4,267,218,3,5,5,0,13,23,3,0,3,0,12,4,0,8,0
"10",755,160,90,21,0,7,27,8,7,372,372,11,3,1,7,0,0,169,133,2,6,5,0,13,10,14,0,13,1,29,7,0,20,2
"11",503,99,49,20,0,4,13,7,6,258,258,4,1,1,2,0,0,114,84,0,5,6,0,10,9,7,0,6,1,21,9,0,9,3
"12",659,60,38,3,0,3,7,4,5,411,411,7,1,1,0,0,5,162,128,1,4,8,0,10,11,1,0,1,0,18,2,0,16,0
"13",1202,125,66,23,0,3,13,7,13,449,449,9,5,3,0,0,1,608,513,2,14,17,0,25,37,2,0,2,0,9,1,0,6,2
"14",375,125,47,33,0,4,25,7,9,146,146,4,3,0,0,0,1,81,68,2,3,4,0,2,2,2,0,1,1,17,10,0,6,1
"-102",16663,1689,968,277,14,54,188,108,80,8188,8188,440,95,20,33,232,60,5863,5299,45,103,107,0,119,190,95,1,71,23,388,292,0,66,30
"22",566,46,25,8,2,2,2,4,3,280,280,38,1,0,1,22,14,198,180,0,4,2,0,4,8,3,0,2,1,1,1,0,0,0
"23",703,33,22,5,0,1,1,1,3,314,314,25,8,0,2,15,0,319,288,2,3,5,0,7,14,2,0,1,1,10,9,0,1,0
"24",1016,71,48,10,0,1,8,3,1,545,545,18,9,0,1,7,1,381,355,0,4,9,0,5,8,1,0,0,1,0,0,0,0,0
"25",266,84,39,19,1,1,12,5,7,117,117,9,0,1,0,5,3,36,18,2,8,2,0,2,4,1,0,1,0,19,19,0,0,0
"26",554,58,14,8,0,1,30,3,2,241,241,16,0,0,1,11,4,237,203,5,3,6,0,8,12,1,0,1,0,1,0,0,1,0
"27",250,94,44,13,0,0,20,9,8,31,31,2,2,0,0,0,0,112,96,0,4,1,0,3,8,7,0,6,1,4,4,0,0,0
"28",1020,86,41,18,0,5,12,5,5,492,492,30,7,2,1,10,10,339,292,3,6,19,0,14,5,4,0,3,1,69,53,0,13,3
"29",240,52,26,7,0,1,10,4,4,34,34,7,1,3,0,3,0,139,127,0,3,4,0,2,3,0,0,0,0,8,8,0,0,0
"31",305,64,38,7,0,1,10,5,3,163,163,8,0,0,0,8,0,66,55,2,2,3,0,3,1,1,0,0,1,3,0,0,3,0
"33",1029,117,76,17,0,5,7,9,3,503,503,28,3,2,0,22,1,343,309,1,11,7,0,6,9,12,0,8,4,26,14,0,8,4
"34",629,75,37,14,0,1,9,8,6,226,226,32,8,0,13,11,0,275,251,2,6,7,0,3,6,1,1,0,0,20,20,0,0,0
"35",1415,126,77,22,0,7,9,6,5,664,664,9,6,2,0,1,0,555,532,1,2,8,0,7,5,26,0,22,4,35,16,0,16,3
"37",1307,112,71,22,2,4,6,4,3,715,715,33,5,1,0,27,0,387,347,6,9,6,0,4,15,6,0,5,1,54,36,0,8,10
"38",897,91,53,12,2,4,10,8,2,226,226,12,5,1,0,5,1,494,469,1,9,3,0,3,9,5,0,4,1,69,66,0,2,1
"39",646,56,33,5,3,2,5,4,4,423,423,4,3,0,0,0,1,140,122,1,6,1,0,3,7,2,0,1,1,21,15,0,1,5
"40",956,77,47,14,0,3,6,6,1,556,556,31,3,2,2,19,5,285,259,2,2,1,0,6,15,4,0,1,3,3,1,0,2,0
"41",440,27,17,6,0,1,2,0,1,270,270,14,4,1,2,7,0,127,120,0,1,1,0,0,5,0,0,0,0,2,0,0,2,0
"43",327,20,15,3,1,0,1,0,0,194,194,18,2,0,2,14,0,95,83,0,5,0,0,2,5,0,0,0,0,0,0,0,0,0
"291",1700,199,121,27,3,6,20,11,11,948,948,26,10,2,2,6,6,479,423,6,10,14,0,15,11,12,0,9,3,36,29,0,6,1
"292",2397,201,124,40,0,8,8,13,8,1246,1246,80,18,3,6,39,14,856,770,11,5,8,0,22,40,7,0,7,0,7,1,0,3,3
"-103",18489,4087,2174,736,9,97,572,260,239,7062,7062,381,82,54,33,115,97,6436,5559,37,175,242,0,205,218,219,0,169,50,304,167,0,81,56
"51",428,107,54,23,0,2,17,8,3,149,149,3,1,0,0,1,1,167,151,1,2,6,0,3,4,1,0,0,1,1,0,0,1,0
"52",902,263,129,45,1,11,45,17,15,332,332,12,4,2,0,0,6,286,232,2,5,21,0,15,11,5,0,4,1,4,2,0,2,0
"53",1609,420,220,78,0,4,69,31,18,484,484,30,11,6,5,4,4,649,569,0,10,27,0,21,22,22,0,18,4,4,3,0,1,0
"54",423,190,82,50,0,6,32,11,9,85,85,6,3,2,0,0,1,136,106,0,0,15,0,7,8,5,0,3,2,1,0,0,0,1
"55",909,149,81,27,0,1,18,8,14,287,287,27,4,4,3,15,1,379,328,4,20,7,0,10,10,2,0,1,1,65,65,0,0,0
"56",1272,241,118,46,0,2,36,22,17,410,410,18,6,7,2,0,3,579,520,3,9,22,0,14,11,8,0,7,1,16,6,0,6,4
"57",834,77,40,13,0,3,9,5,7,271,271,45,2,2,3,37,1,424,372,3,18,11,0,7,13,1,0,1,0,16,15,0,1,0
"58",1225,170,99,26,0,6,12,13,14,549,549,29,17,6,3,1,2,410,341,1,28,5,0,18,17,40,0,34,6,27,26,0,0,1
"59",617,60,30,13,0,3,6,4,4,258,258,4,2,1,0,0,1,278,256,0,4,8,0,4,6,0,0,0,0,17,11,0,3,3
"60",479,87,51,17,0,3,8,6,2,275,275,2,0,1,0,1,0,71,53,1,1,1,0,4,11,1,0,1,0,43,3,0,13,27
"61",491,66,45,7,0,0,5,4,5,190,190,16,4,3,0,8,1,172,156,1,1,1,0,5,8,39,0,31,8,8,7,0,0,1
"62",1922,700,421,141,0,14,65,27,32,659,659,16,6,3,3,1,3,511,426,2,11,28,0,24,20,14,0,12,2,22,3,0,16,3
"63",518,81,31,10,0,1,27,2,10,226,226,6,0,3,0,0,3,196,177,0,5,4,0,4,6,9,0,8,1,0,0,0,0,0
"64",1019,218,104,23,4,3,53,16,15,471,471,9,4,0,2,1,2,319,287,3,6,12,0,7,4,1,0,1,0,1,1,0,0,0
"65",1019,61,41,9,0,2,4,1,4,585,585,6,1,1,2,2,0,360,315,3,14,8,0,5,15,6,0,5,1,1,0,0,1,0
"66",559,335,179,63,0,8,49,24,12,106,106,9,4,2,2,0,1,98,61,0,4,19,0,10,4,2,0,1,1,9,9,0,0,0
"67",1071,171,80,36,1,11,29,6,8,446,446,81,0,4,1,20,56,363,327,3,4,13,0,4,12,9,0,5,4,1,1,0,0,0
"68",449,71,22,12,0,4,17,8,8,149,149,6,5,0,0,0,1,212,175,4,12,3,0,11,7,1,0,0,1,10,9,0,0,1
"69",645,346,189,59,0,6,37,36,19,136,136,8,4,2,0,2,0,146,102,2,9,14,0,14,5,3,0,3,0,6,2,0,1,3
"70",394,24,9,7,0,2,4,0,2,190,190,4,0,0,0,4,0,175,157,0,3,4,0,6,5,1,0,1,0,0,0,0,0,0
"71",895,95,60,13,0,3,8,4,7,445,445,28,3,3,3,18,1,278,251,1,1,9,0,6,10,40,0,29,11,9,3,0,2,4
"72",809,155,89,18,3,2,22,7,14,359,359,16,1,2,4,0,9,227,197,3,8,4,0,6,9,9,0,4,5,43,1,0,34,8
"-104",15284,2815,1494,509,31,46,384,166,185,6978,6978,222,65,35,51,36,35,4882,4224,24,82,168,0,194,190,103,0,83,20,284,83,0,135,66
"81",919,56,38,6,1,1,3,1,6,422,422,13,5,2,4,0,2,426,376,2,3,17,0,10,18,0,0,0,0,2,0,0,2,0
"82",394,48,22,11,2,1,3,5,4,142,142,8,0,0,3,3,2,191,174,1,0,5,0,4,7,2,0,2,0,3,0,0,3,0
"83",586,166,88,28,8,2,16,10,14,251,251,6,1,3,0,1,1,155,139,0,2,3,0,6,5,2,0,2,0,6,2,0,4,0
"84",450,113,66,19,3,3,6,4,12,178,178,2,1,0,0,0,1,153,130,1,2,6,0,6,8,1,0,1,0,3,0,0,3,0
"85",282,50,19,11,0,0,15,2,3,135,135,0,0,0,0,0,0,95,85,1,0,2,0,2,5,0,0,0,0,2,2,0,0,0
"86",587,181,95,31,0,4,25,18,8,201,201,10,1,1,1,1,6,185,156,1,5,6,0,12,5,3,0,3,0,7,2,0,1,4
"87",160,31,16,4,2,0,3,2,4,66,66,2,0,1,1,0,0,59,54,0,1,1,0,1,2,2,0,2,0,0,0,0,0,0
"88",600,108,57,15,0,2,12,6,16,374,374,1,0,1,0,0,0,38,28,0,1,0,0,8,1,1,0,0,1,78,7,0,46,25
"89",360,114,51,24,0,2,20,8,9,199,199,4,3,1,0,0,0,33,19,0,1,0,0,7,6,0,0,0,0,10,3,0,6,1
"90",1128,246,127,42,0,4,45,12,16,606,606,8,2,2,1,2,1,252,215,2,0,14,0,13,8,2,0,2,0,14,6,0,1,7
"91",685,97,44,20,0,0,18,11,4,314,314,3,1,1,0,0,1,270,241,1,7,2,0,12,7,0,0,0,0,1,1,0,0,0
"92",826,184,110,27,0,6,21,11,9,485,485,3,1,1,0,0,1,97,68,3,8,1,0,11,6,6,0,4,2,51,11,0,29,11
"93",491,55,27,8,1,1,5,4,9,159,159,5,2,2,0,0,1,271,250,0,4,6,0,7,4,0,0,0,0,1,1,0,0,0
"94",718,180,69,26,4,3,55,18,5,228,228,29,3,3,5,13,5,273,231,1,9,12,0,10,10,4,0,3,1,4,0,0,3,1
"95",240,18,10,3,0,0,3,2,0,74,74,10,1,1,1,7,0,137,120,0,2,7,0,2,6,1,0,0,1,0,0,0,0,0
"96",1459,456,233,105,2,7,63,21,25,586,586,30,13,4,2,3,8,348,297,0,3,18,0,17,13,6,0,5,1,33,16,0,10,7
"97",1244,311,196,60,1,5,28,11,10,595,595,27,9,5,11,0,2,278,207,2,3,38,0,12,16,4,0,3,1,29,5,0,20,4
"98",566,38,20,10,0,1,3,3,1,273,273,4,1,1,1,0,1,251,213,2,5,0,0,25,6,0,0,0,0,0,0,0,0,0
"99",395,43,20,11,0,0,2,2,8,157,157,4,1,0,3,0,0,191,167,1,2,6,0,6,9,0,0,0,0,0,0,0,0,0
"100",1288,117,70,15,1,3,17,8,3,719,719,13,7,2,0,3,1,400,360,2,11,5,0,6,16,29,0,22,7,10,5,0,3,2
"101",948,129,72,16,6,1,14,7,13,492,492,25,3,0,18,2,2,294,259,1,2,6,0,8,18,3,0,3,0,5,2,0,1,2
"102",958,74,44,17,0,0,7,0,6,322,322,15,10,4,0,1,0,485,435,3,11,13,0,9,14,37,0,31,6,25,20,0,3,2
"-105",17942,2831,1538,517,14,74,407,156,125,8455,8455,249,142,59,25,5,18,5734,4344,71,236,351,0,280,452,59,0,50,9,614,149,0,410,55
"111",2221,177,104,32,0,6,20,4,11,1074,1074,21,14,7,0,0,0,882,724,13,17,42,0,29,57,7,0,7,0,60,6,0,51,3
"112",1161,236,132,43,0,6,37,10,8,664,664,13,6,0,2,1,4,169,119,3,6,8,0,9,24,4,0,2,2,75,9,0,66,0
"113",1021,233,121,42,2,10,34,14,10,574,574,8,7,1,0,0,0,189,125,2,18,5,0,19,20,5,0,5,0,12,5,0,7,0
"114",3017,126,91,18,0,2,10,3,2,952,952,76,43,32,0,0,1,1812,1432,15,51,152,0,47,115,10,0,7,3,41,15,0,26,0
"115",1832,329,183,45,2,10,55,20,14,1166,1166,19,9,2,1,1,6,295,213,3,5,13,0,20,41,11,0,10,1,12,2,0,9,1
"116",876,140,73,25,1,5,23,10,3,506,506,10,5,0,2,2,1,194,139,3,7,6,0,15,24,0,0,0,0,26,3,0,22,1
"117",2227,428,259,78,8,6,46,16,15,1111,1111,23,18,3,1,0,1,617,460,8,36,25,0,31,57,2,0,2,0,46,5,0,41,0
"118",1010,282,146,45,0,9,40,24,18,329,329,12,4,2,5,0,1,357,280,4,21,13,0,22,17,2,0,2,0,28,8,0,20,0
"119",377,66,29,15,1,2,11,6,2,147,147,20,5,1,12,1,1,69,50,2,2,4,0,1,10,5,0,4,1,70,41,0,21,8
"120",2528,301,173,50,0,10,44,11,13,1313,1313,24,17,7,0,0,0,857,572,16,68,69,0,68,64,8,0,7,1,25,4,0,21,0
"121",1672,513,227,124,0,8,87,38,29,619,619,23,14,4,2,0,3,293,230,2,5,14,0,19,23,5,0,4,1,219,51,0,126,42
"-106",10426,2828,1295,517,4,74,458,302,178,4141,4141,122,34,12,45,8,23,2979,2443,22,92,86,0,124,212,26,0,23,3,330,115,0,204,11
"131",778,331,142,51,0,10,63,54,11,175,175,8,6,1,0,0,1,252,191,3,14,5,0,25,14,1,0,1,0,11,8,0,3,0
"135",260,191,70,39,1,2,27,34,18,57,57,1,0,0,1,0,0,9,1,0,1,0,0,3,4,2,0,2,0,0,0,0,0,0
"136",867,185,98,28,0,3,24,11,21,227,227,6,3,1,0,0,2,431,383,2,6,17,0,8,15,0,0,0,0,18,7,0,10,1
"137",275,116,54,16,0,3,23,8,12,29,29,5,2,1,0,0,2,118,110,1,0,3,0,1,3,1,0,1,0,6,1,0,5,0
"138",754,310,134,69,0,5,45,39,18,347,347,5,2,1,1,1,0,79,34,0,8,3,0,12,22,2,0,1,1,11,4,0,7,0
"139",293,163,60,30,0,5,31,21,16,56,56,4,2,0,2,0,0,67,55,2,2,2,0,2,4,1,0,1,0,2,2,0,0,0
"141",553,316,137,70,0,6,48,35,20,87,87,7,3,1,0,0,3,126,115,0,1,2,0,3,5,4,0,4,0,13,8,0,5,0
"293",3561,687,337,123,2,20,111,64,30,2022,2022,66,8,2,37,6,13,624,433,8,37,28,0,28,90,5,0,4,1,157,42,0,107,8
"295",3085,529,263,91,1,20,86,36,32,1141,1141,20,8,5,4,1,2,1273,1121,6,23,26,0,42,55,10,0,9,1,112,43,0,67,2
"-107",8464,2748,1132,525,6,67,507,298,213,3184,3184,223,33,9,40,115,26,2136,1662,18,79,60,0,117,200,29,0,29,0,144,28,0,102,14
"151",296,157,55,33,0,2,33,24,10,58,58,5,0,1,0,3,1,75,63,0,4,1,0,4,3,1,0,1,0,0,0,0,0,0
"152",898,206,89,40,0,4,34,25,14,443,443,9,1,0,0,8,0,232,179,1,8,7,0,20,17,1,0,1,0,7,2,0,5,0
"153",1219,257,135,45,1,9,32,23,12,612,612,37,4,2,11,11,9,224,128,3,11,6,0,16,60,2,0,2,0,87,16,0,61,10
"154",1232,415,151,72,1,8,80,63,40,387,387,20,2,2,4,6,6,399,356,1,8,9,0,8,17,2,0,2,0,9,7,0,2,0
"155",477,224,95,41,0,9,45,19,15,108,108,15,0,1,4,9,1,126,93,1,10,3,0,8,11,2,0,2,0,2,1,0,0,1
"156",1188,340,140,75,1,10,64,25,25,485,485,32,3,1,7,19,2,305,235,1,15,12,0,17,25,3,0,3,0,23,1,0,22,0
"157",610,132,74,20,1,1,22,8,6,377,377,7,3,1,2,1,0,90,60,0,0,5,0,9,16,3,0,3,0,1,0,0,1,0
"158",860,332,146,61,2,11,54,41,17,269,269,72,4,1,12,52,3,174,128,3,10,4,0,7,22,3,0,3,0,10,1,0,6,3
"159",351,152,52,38,0,4,27,17,14,120,120,12,3,0,0,6,3,65,30,4,6,0,0,8,17,0,0,0,0,2,0,0,2,0
"160",548,211,82,23,0,2,65,22,17,168,168,3,2,0,0,0,1,154,127,2,6,2,0,16,1,10,0,10,0,2,0,0,2,0
"161",785,322,113,77,0,7,51,31,43,157,157,11,11,0,0,0,0,292,263,2,1,11,0,4,11,2,0,2,0,1,0,0,1,0
"-108",16312,2108,1100,335,14,63,348,143,105,7033,7033,224,131,48,7,1,37,6378,5292,60,227,312,0,206,281,33,1,22,10,536,288,0,208,40
"172",950,186,90,37,5,3,28,16,7,488,488,7,5,2,0,0,0,260,215,1,4,21,0,13,6,2,0,2,0,7,4,0,2,1
"173",1299,166,79,18,0,1,47,8,13,610,610,13,7,6,0,0,0,492,416,2,15,27,0,9,23,1,0,1,0,17,3,0,14,0
"176",1191,243,128,40,0,2,59,7,7,499,499,35,22,4,6,0,3,409,349,3,11,16,0,17,13,2,0,2,0,3,1,0,2,0
"177",1948,338,168,62,3,15,53,29,8,775,775,22,9,3,0,1,9,466,334,4,14,52,0,19,43,3,0,1,2,344,229,0,88,27
"178",1427,179,81,30,3,6,30,14,15,686,686,10,4,5,0,0,1,528,443,3,16,30,0,10,26,4,0,3,1,20,0,0,17,3
"180",1278,148,74,23,0,6,21,13,11,532,532,23,16,5,0,0,2,560,489,3,16,20,0,18,14,1,0,0,1,14,5,0,8,1
"181",923,88,58,10,0,1,9,5,5,340,340,6,4,2,0,0,0,461,375,3,24,25,0,15,19,2,1,1,0,26,11,0,15,0
"182",1055,76,55,7,0,1,5,5,3,542,542,10,7,3,0,0,0,388,318,8,13,16,0,14,19,3,0,3,0,36,3,0,33,0
"296",3290,462,235,71,3,23,64,37,29,1503,1503,70,40,7,1,0,22,1206,1048,11,28,45,0,27,47,9,0,6,3,40,13,0,21,6
"297",2951,222,132,37,0,5,32,9,7,1058,1058,28,17,11,0,0,0,1608,1305,22,86,60,0,64,71,6,0,3,3,29,19,0,8,2
"-109",11231,3170,1474,632,20,81,524,269,170,4813,4813,156,52,24,20,5,55,2756,2210,16,76,110,0,133,211,62,0,55,7,274,34,0,197,43
"191",1361,575,250,138,3,10,106,40,28,473,473,9,5,3,1,0,0,291,240,1,7,8,0,18,17,6,0,4,2,7,6,0,1,0
"192",1451,266,137,41,2,11,52,14,9,760,760,44,14,1,6,0,23,372,266,3,15,11,0,25,52,5,0,5,0,4,0,0,4,0
"193",637,206,85,45,1,3,29,22,21,214,214,10,0,1,0,0,9,183,163,0,5,1,0,7,7,2,0,1,1,22,4,0,7,11
"194",233,108,39,19,0,5,24,15,6,75,75,4,1,1,0,2,0,23,18,2,1,0,0,0,2,0,0,0,0,23,0,0,16,7
"195",1482,307,128,56,0,7,57,35,24,735,735,11,2,2,5,0,2,412,333,1,14,2,0,24,38,6,0,4,2,11,1,0,6,4
"196",760,137,57,30,0,8,29,11,2,488,488,4,1,0,1,1,1,98,73,2,3,2,0,5,13,0,0,0,0,33,1,0,28,4
"197",267,115,59,18,4,2,15,13,4,88,88,0,0,0,0,0,0,22,11,0,2,0,0,4,5,2,0,2,0,40,2,0,30,8
"198",2850,775,388,137,3,23,121,58,45,1106,1106,42,10,10,2,1,19,797,646,4,13,59,0,29,46,20,0,19,1,110,16,0,87,7
"199",1401,463,223,102,3,7,66,39,23,531,531,22,11,5,5,1,0,346,297,3,5,14,0,12,15,18,0,17,1,21,4,0,16,1
"200",789,218,108,46,4,5,25,22,8,343,343,10,8,1,0,0,1,212,163,0,11,13,0,9,16,3,0,3,0,3,0,0,2,1
"-110",25188,4438,2279,845,15,149,626,338,186,10874,10874,409,218,65,30,72,24,9232,8094,53,158,273,0,235,419,76,0,58,18,159,99,0,50,10
"211",770,52,33,11,0,2,3,2,1,538,538,4,2,2,0,0,0,156,129,2,3,7,0,6,9,4,0,4,0,16,15,0,1,0
"213",664,70,37,9,4,1,12,3,4,391,391,10,10,0,0,0,0,191,179,1,2,6,0,0,3,2,0,2,0,0,0,0,0,0
"214",796,66,40,9,0,4,6,5,2,519,519,3,3,0,0,0,0,204,180,2,1,9,0,3,9,1,0,1,0,3,1,0,1,1
"215",291,33,12,6,0,3,4,1,7,106,106,9,0,1,0,8,0,137,109,0,7,7,0,4,10,0,0,0,0,6,2,0,4,0
"216",708,73,40,16,0,3,7,3,4,475,475,7,2,0,1,3,1,147,126,4,2,2,0,5,8,2,0,2,0,4,4,0,0,0
"218",496,73,35,14,7,0,13,3,1,323,323,4,3,0,0,0,1,95,86,2,1,3,0,1,2,0,0,0,0,1,0,0,1,0
"219",804,151,77,26,0,6,21,10,11,431,431,6,3,2,1,0,0,213,183,2,2,2,0,9,15,1,0,1,0,2,1,0,1,0
"220",815,67,45,11,0,1,4,4,2,486,486,9,6,3,0,0,0,243,194,2,4,17,0,5,21,8,0,5,3,2,1,0,1,0
"221",581,97,37,20,0,3,23,9,5,332,332,16,6,2,1,3,4,130,116,1,3,4,0,1,5,1,0,1,0,5,0,0,2,3
"223",1507,223,133,32,2,11,30,7,8,781,781,53,27,2,2,21,1,442,376,4,7,12,0,19,24,3,0,2,1,5,4,0,1,0
"224",500,121,65,20,0,2,17,9,8,146,146,8,2,5,0,0,1,212,180,1,10,2,0,14,5,4,0,4,0,9,6,0,2,1
"225",605,95,50,16,0,1,14,6,8,344,344,22,4,1,11,6,0,141,120,2,2,5,0,7,5,1,0,0,1,2,2,0,0,0
"226",904,52,39,3,0,0,4,5,1,415,415,16,14,1,0,0,1,411,349,1,4,22,0,10,25,1,0,1,0,9,3,0,5,1
"227",759,235,114,40,0,6,55,9,11,311,311,17,12,0,1,3,1,192,162,2,2,6,0,7,13,1,0,0,1,3,2,0,0,1
"228",2524,183,106,31,0,8,22,8,8,862,862,22,14,8,0,0,0,1428,1269,5,30,54,0,31,39,8,0,1,7,21,7,0,14,0
"230",6811,2155,1033,442,0,86,303,216,75,1663,1663,117,68,24,0,19,6,2803,2536,7,46,51,0,58,105,34,0,29,5,39,33,0,4,2
"231",1298,180,92,37,1,5,28,9,8,523,523,13,10,2,0,0,1,559,473,7,14,16,0,24,25,0,0,0,0,23,14,0,8,1
"294",2442,221,131,45,0,3,24,10,8,1105,1105,39,25,8,1,1,4,1068,935,3,13,36,0,14,67,2,0,2,0,7,3,0,4,0
"298",1913,291,160,57,1,4,36,19,14,1123,1123,34,7,4,12,8,3,460,392,5,5,12,0,17,29,3,0,3,0,2,1,0,1,0
"-111",6000,1990,949,427,8,45,294,161,106,1743,1743,148,44,9,26,35,34,1989,1737,14,36,41,0,86,75,24,0,22,2,106,76,0,18,12
"241",521,54,30,11,0,1,8,2,2,282,282,12,7,0,5,0,0,173,159,1,2,2,0,0,9,0,0,0,0,0,0,0,0,0
"242",1142,235,141,42,0,4,26,12,10,443,443,25,13,4,2,0,6,433,378,8,6,11,0,19,11,2,0,1,1,4,3,0,1,0
"243",927,470,227,103,3,13,67,40,17,136,136,17,8,2,6,0,1,252,214,0,3,7,0,18,10,0,0,0,0,52,37,0,9,6
"244",191,92,41,17,1,1,15,8,9,32,32,7,1,0,2,0,4,48,41,2,1,0,0,4,0,0,0,0,0,12,8,0,3,1
"245",213,107,39,25,1,0,30,9,3,43,43,2,0,0,0,2,0,57,43,0,6,0,0,5,3,1,0,1,0,3,3,0,0,0
"246",277,57,26,10,1,2,3,10,5,100,100,2,0,1,0,1,0,106,96,1,2,1,0,3,3,0,0,0,0,12,11,0,0,1
"247",655,340,157,83,0,13,40,35,12,102,102,7,2,0,5,0,0,197,173,0,4,5,0,8,7,2,0,2,0,7,6,0,0,1
"248",440,135,54,27,1,3,24,12,14,140,140,15,3,0,3,0,9,146,130,1,1,7,0,4,3,4,0,4,0,0,0,0,0,0
"249",335,119,51,21,0,1,29,11,6,95,95,8,3,1,2,1,1,97,79,0,4,1,0,5,8,7,0,7,0,9,6,0,0,3
"250",758,248,102,63,0,4,43,18,18,232,232,11,2,0,1,1,7,263,229,1,4,6,0,12,11,2,0,1,1,2,1,0,1,0
"251",541,133,81,25,1,3,9,4,10,138,138,42,5,1,0,30,6,217,195,0,3,1,0,8,10,6,0,6,0,5,1,0,4,0
"-112",8797,5213,2247,1290,4,170,687,570,245,895,895,77,24,6,16,15,16,2434,2107,21,48,63,0,93,102,52,0,51,1,126,93,0,19,14
"261",8797,5213,2247,1290,4,170,687,570,245,895,895,77,24,6,16,15,16,2434,2107,21,48,63,0,93,102,52,0,51,1,126,93,0,19,14
"-241",54170,2919,1691,480,3,58,348,208,131,23876,23876,526,257,176,1,91,1,26355,20419,120,671,2095,0,930,2120,316,48,191,77,178,77,0,96,5
"431",1765,91,56,14,0,2,10,2,7,991,991,6,1,5,0,0,0,669,489,0,17,52,0,25,86,5,0,4,1,3,3,0,0,0
"432",1350,36,19,7,0,0,2,5,3,727,727,25,13,12,0,0,0,558,364,2,17,75,0,15,85,1,0,0,1,3,2,0,1,0
"433",1482,49,34,4,0,0,6,2,3,720,720,4,1,3,0,0,0,705,550,2,15,48,0,24,66,3,0,1,2,1,1,0,0,0
"434",2212,93,58,12,0,0,15,4,4,1133,1133,9,4,5,0,0,0,974,665,2,34,129,0,34,110,1,0,1,0,2,2,0,0,0
"435",1420,51,31,8,0,1,7,2,2,882,882,2,2,0,0,0,0,479,331,1,21,11,0,46,69,1,0,1,0,5,3,0,1,1
"437",472,12,9,3,0,0,0,0,0,290,290,1,0,1,0,0,0,169,94,2,12,22,0,15,24,0,0,0,0,0,0,0,0,0
"438",2163,79,41,13,0,1,13,8,3,795,795,14,5,9,0,0,0,1261,1006,1,25,93,0,36,100,10,3,5,2,4,0,0,4,0
"441",1264,67,36,8,1,3,10,5,4,757,757,3,2,1,0,0,0,433,331,3,9,25,0,29,36,2,0,2,0,2,2,0,0,0
"442",694,24,14,4,0,1,2,1,2,254,254,9,2,7,0,0,0,405,295,4,14,40,0,6,46,0,0,0,0,2,0,0,2,0
