"Bezirk (>>) / Gemeinde (......)","Fläche Total 2013/18","-10 Künstlich angelegte Flächen 2013/18",">>10.11 Befestigte Flächen 2013/18",">>10.12 Gebäude 2013/18",">>10.13 Treibhäuser 2013/18",">>10.14 Beetstrukturen 2013/18",">>10.15 Rasen 2013/18",">>10.16 Bäume auf künstlich angelegten Flächen 2013/18",">>10.17 Gemischte Kleinstrukturen 2013/18","-20 Gras-, Krautvegetation 2013/18",">>20.21 Gras-, Krautvegetation 2013/18","-30 Gebüschvegetation 2013/18",">>30.31 Gebüsch 2013/18",">>30.32 Verbuschte Flächen 2013/18",">>30.33 Niederstammobst 2013/18",">>30.34 Reben 2013/18",">>30.35 Gärtnerische Dauerkulturen 2013/18","-40 Baumvegetation 2013/18",">>40.41 Geschlossene Baumbestände 2013/18",">>40.42 Waldecken 2013/18",">>40.43 Waldstreifen 2013/18",">>40.44 Aufgelöste Baumbestände 2013/18",">>40.45 Gebüschwaldbestände 2013/18",">>40.46 Lineare Baumbestände 2013/18",">>40.47 Baumgruppen 2013/18","-50 Vegetationslose Flächen 2013/18",">>50.51 Anstehender Fels 2013/18",">>50.52 Lockergestein 2013/18",">>50.53 Versteinte Flächen 2013/18","-60 Wasser und Feuchtflächen 2013/18",">>60.61 Wasser 2013/18",">>60.62 Gletscher, Firn 2013/18",">>60.63 Nassstandorte 2013/18",">>60.64 Schilfbestände 2013/18"
"1145",1219,59,38,16,0,1,2,1,1,858,858,6,5,1,0,0,0,286,194,4,20,8,0,26,34,5,0,5,0,5,2,0,2,1
"1146",294,66,29,25,0,3,6,1,2,194,194,1,0,1,0,0,0,33,23,0,1,0,0,2,7,0,0,0,0,0,0,0,0,0
"1147",829,84,52,14,3,2,9,1,3,305,305,16,16,0,0,0,0,422,367,0,4,25,0,7,19,2,0,2,0,0,0,0,0,0
"1150",1391,125,76,27,0,1,15,4,2,901,901,16,10,5,0,0,1,320,225,4,13,22,0,25,31,23,0,18,5,6,6,0,0,0
"1151",4722,392,238,86,0,5,49,4,10,2845,2845,50,40,0,4,1,5,1400,1041,19,72,61,0,83,124,13,0,7,6,22,17,0,1,4
"-316",42446,1422,917,291,2,31,109,46,26,18674,18674,1146,637,503,1,0,5,17406,12094,237,749,1945,95,695,1591,1814,596,596,622,1984,236,0,1748,0
"1001",693,41,23,12,0,1,2,0,3,379,379,2,2,0,0,0,0,256,190,6,22,6,0,16,16,7,0,7,0,8,8,0,0,0
"1002",5698,193,125,39,0,5,16,7,1,2560,2560,132,62,70,0,0,0,2458,1790,27,100,246,28,92,175,96,14,47,35,259,23,0,236,0
"1004",10807,238,162,42,0,0,20,14,0,3790,3790,470,290,180,0,0,0,3858,1999,51,166,818,42,191,591,1204,486,337,381,1247,59,0,1188,0
"1005",4034,122,84,23,0,1,9,3,2,1758,1758,156,63,93,0,0,0,1610,1090,26,99,172,15,64,144,167,31,63,73,221,36,0,185,0
"1007",3735,80,55,22,0,2,0,0,1,1320,1320,36,19,17,0,0,0,2254,1937,33,67,97,0,39,81,34,9,16,9,11,11,0,0,0
"1008",3843,203,119,45,2,3,17,10,7,2215,2215,48,28,20,0,0,0,1252,915,15,67,113,0,63,79,41,10,15,16,84,20,0,64,0
"1009",1574,122,76,31,0,5,6,3,1,901,901,14,8,4,0,0,2,503,369,8,26,19,0,46,35,15,2,10,3,19,18,0,1,0
"1010",10635,295,198,54,0,8,23,7,5,4955,4955,280,163,115,0,0,2,4740,3462,64,176,459,10,150,419,240,43,95,102,125,51,0,74,0
"1107",1427,128,75,23,0,6,16,2,6,796,796,8,2,4,1,0,1,475,342,7,26,15,0,34,51,10,1,6,3,10,10,0,0,0
"-400",105721,1868,1217,277,2,31,224,53,64,21254,21254,11457,4708,6743,1,4,1,22531,13028,89,448,1800,5771,266,1129,40790,15881,15744,9165,7821,799,6737,266,19
"1201",1019,241,114,55,0,6,36,16,14,341,341,15,7,5,0,3,0,398,354,1,4,18,0,3,18,10,0,5,5,14,6,0,8,0
"1202",6221,123,85,9,0,0,27,2,0,1817,1817,1133,405,728,0,0,0,417,45,0,0,8,354,5,5,2525,435,1199,891,206,80,66,60,0
"1203",4692,72,40,10,1,4,9,5,3,1384,1384,409,122,286,0,0,1,886,569,1,13,61,188,12,42,1700,700,630,370,241,39,197,4,1
"1205",5311,127,72,26,0,3,16,1,9,2556,2556,457,144,312,0,1,0,1075,758,11,54,74,70,34,74,1055,181,436,438,41,19,0,22,0
"1206",5906,200,138,25,0,3,21,2,11,674,674,553,277,275,1,0,0,1846,1233,9,18,54,484,12,36,2078,1071,577,430,555,51,483,20,1
"1207",1240,79,49,12,0,2,11,3,2,306,306,64,28,36,0,0,0,710,540,1,13,86,15,10,45,70,22,28,20,11,2,0,7,2
"1208",10415,69,59,5,0,2,2,0,1,535,535,979,428,551,0,0,0,1507,577,4,9,163,688,11,55,5627,2710,2054,863,1698,175,1498,25,0
"1209",8339,88,70,10,0,1,5,1,1,797,797,1215,649,566,0,0,0,2592,1405,6,46,226,739,29,141,3458,1527,1201,730,189,50,139,0,0
"1210",3511,45,27,3,0,0,13,2,0,623,623,797,327,470,0,0,0,411,33,0,3,4,365,4,2,1568,412,722,434,67,28,35,4,0
"1211",6095,41,32,8,0,0,1,0,0,1660,1660,336,95,241,0,0,0,1710,1187,9,49,203,97,26,139,1958,702,807,449,390,19,365,6,0
"1212",7780,66,54,2,0,0,10,0,0,1761,1761,1319,411,908,0,0,0,293,21,0,0,4,262,5,1,3708,901,1829,978,633,66,533,34,0
"1213",1629,210,130,39,1,2,22,9,7,469,469,72,22,50,0,0,0,669,469,5,21,25,120,10,19,201,61,64,76,8,8,0,0,0
"1214",1932,107,54,15,0,4,19,8,7,358,358,76,31,45,0,0,0,952,815,2,20,51,21,15,28,406,193,99,114,33,10,0,10,13
"1215",1319,47,29,7,0,1,7,1,2,428,428,36,23,13,0,0,0,681,555,6,23,31,6,15,45,105,37,25,43,22,18,0,3,1
"1216",14474,114,68,24,0,1,14,1,6,1602,1602,1265,661,604,0,0,0,3107,1866,19,42,186,850,18,126,6204,2773,2316,1115,2182,92,2080,9,1
"1217",1645,18,12,3,0,0,2,0,1,498,498,154,45,109,0,0,0,759,531,4,12,82,88,3,39,205,45,67,93,11,9,0,2,0
"1218",6479,81,62,13,0,0,5,1,0,2202,2202,471,152,319,0,0,0,1225,563,9,61,197,243,23,129,2159,809,859,491,341,44,264,33,0
"1219",8023,60,52,5,0,0,3,0,0,2584,2584,736,189,547,0,0,0,903,488,0,24,81,218,14,78,3416,1144,1431,841,324,30,283,11,0
"1220",9691,80,70,6,0,2,1,1,0,659,659,1370,692,678,0,0,0,2390,1019,2,36,246,963,17,107,4337,2158,1395,784,855,53,794,8,0
"-501",9889,588,338,119,0,12,61,34,24,4078,4078,330,239,88,0,0,3,4112,3086,35,118,529,3,124,217,62,2,43,17,719,51,0,648,20
"1301",9889,588,338,119,0,12,61,34,24,4078,4078,330,239,88,0,0,3,4112,3086,35,118,529,3,124,217,62,2,43,17,719,51,0,648,20
"-502",1436,92,67,12,0,0,4,2,7,540,540,19,12,6,0,1,0,753,581,7,39,43,3,28,52,7,5,1,1,25,7,0,18,0
"1311",1436,92,67,12,0,0,4,2,7,540,540,19,12,6,0,1,0,753,581,7,39,43,3,28,52,7,5,1,1,25,7,0,18,0
"-503",3768,830,463,181,0,15,72,55,44,1541,1541,93,49,12,8,23,1,1125,859,12,56,64,0,57,77,12,0,8,4,167,20,0,135,12
"1321",1747,190,124,37,0,2,8,7,12,770,770,34,25,6,2,0,1,698,539,6,33,47,0,33,40,6,0,4,2,49,11,0,38,0
"1322",1384,446,236,95,0,11,53,32,19,471,471,53,22,5,4,22,0,330,256,5,18,9,0,18,24,4,0,2,2,80,3,0,67,10
"1323",637,194,103,49,0,2,11,16,13,300,300,6,2,1,2,1,0,97,64,1,5,8,0,6,13,2,0,2,0,38,6,0,30,2
"-504",2948,453,262,92,0,9,58,17,15,1539,1539,50,18,9,17,4,2,868,613,9,35,59,7,36,109,15,2,11,2,23,3,0,14,6
"1331",2948,453,262,92,0,9,58,17,15,1539,1539,50,18,9,17,4,2,868,613,9,35,59,7,36,109,15,2,11,2,23,3,0,14,6
"-505",17684,1282,684,290,10,14,172,55,57,7497,7497,583,276,281,10,13,3,6585,4957,57,202,538,101,173,557,959,290,294,375,778,490,0,282,6
"1341",2049,205,104,53,0,1,28,9,10,1033,1033,56,34,13,2,7,0,743,594,5,30,28,0,32,54,5,0,4,1,7,5,0,2,0
"1342",1323,149,73,37,1,4,19,5,10,625,625,24,12,5,5,1,1,506,414,7,12,26,0,15,32,11,1,7,3,8,5,0,2,1
"1343",5019,31,28,2,0,0,0,1,0,1661,1661,334,135,199,0,0,0,1725,1083,9,65,217,86,35,230,802,269,208,325,466,417,0,49,0
