"arten","funk","d","f","i","e","dim","model"
"","","Maastricht-Schuld","Dette de Maastricht","Debito secondo Maastricht","Maastricht debt","schuld","fs"
"empty","","","","","","schuld","fs"
"","","Fremdkapital ohne Finanzderivate (Schulden nach IWF-Definition)","Capitaux de tiers sans dérivés financiers (dette selon définition FMI) ","Capitale di terzi senza finanziari derivati (debito secondo i criteri del FMI)","Gross debt excluding financial derivatives (debt as defined by IMF)","schuld","fs"
