"jahr";"nr";"gemeinde";"konto";"funktion";"betrag"
"2022";"010115";"Gossau (ZH)";"100";"";"3422078.76"
"2022";"010115";"Gossau (ZH)";"101";"";"7265733.18"
"2022";"010115";"Gossau (ZH)";"104";"";"352356.56"
"2022";"010115";"Gossau (ZH)";"106";"";"422540.53"
"2022";"010115";"Gossau (ZH)";"107";"";"54000.00"
"2022";"010115";"Gossau (ZH)";"108";"";"23880911.10"
"2022";"010115";"Gossau (ZH)";"140";"";"81988957.27"
"2022";"010115";"Gossau (ZH)";"142";"";"545400.64"
"2022";"010115";"Gossau (ZH)";"144";"";"8506817.38"
"2022";"010115";"Gossau (ZH)";"145";"";"4018680.00"
"2022";"010115";"Gossau (ZH)";"146";"";"450005.63"
"2022";"010115";"Gossau (ZH)";"200";"";"15420332.19"
"2022";"010115";"Gossau (ZH)";"201";"";"3000000.00"
"2022";"010115";"Gossau (ZH)";"204";"";"1205067.00"
"2022";"010115";"Gossau (ZH)";"205";"";"201649.10"
"2022";"010115";"Gossau (ZH)";"206";"";"11000000.00"
"2022";"010115";"Gossau (ZH)";"209";"";"486956.35"
"2022";"010115";"Gossau (ZH)";"290";"";"10360995.66"
"2022";"010115";"Gossau (ZH)";"299";"";"89232480.75"
"2022";"010115";"Gossau (ZH)";"300";"01";"33887.50"
"2022";"010115";"Gossau (ZH)";"300";"12";"215734.40"
"2022";"010115";"Gossau (ZH)";"300";"15";"254585.35"
"2022";"010115";"Gossau (ZH)";"300";"16";"70728.00"
"2022";"010115";"Gossau (ZH)";"300";"21";"173602.30"
"2022";"010115";"Gossau (ZH)";"300";"57";"18250.00"
"2022";"010115";"Gossau (ZH)";"301";"02";"5393412.45"
"2022";"010115";"Gossau (ZH)";"301";"14";"477916.28"
"2022";"010115";"Gossau (ZH)";"301";"16";"12750.00"
"2022";"010115";"Gossau (ZH)";"301";"21";"1408270.30"
"2022";"010115";"Gossau (ZH)";"301";"43";"19988.25"
"2022";"010115";"Gossau (ZH)";"301";"54";"28900.00"
"2022";"010115";"Gossau (ZH)";"301";"57";"933725.00"
"2022";"010115";"Gossau (ZH)";"301";"61";"559045.00"
"2022";"010115";"Gossau (ZH)";"301";"72";"169150.00"
"2022";"010115";"Gossau (ZH)";"301";"73";"98090.00"
"2022";"010115";"Gossau (ZH)";"301";"81";"16150.00"
"2022";"010115";"Gossau (ZH)";"302";"21";"825243.00"
"2022";"010115";"Gossau (ZH)";"303";"02";"224697.45"
"2022";"010115";"Gossau (ZH)";"305";"01";"1829.30"
"2022";"010115";"Gossau (ZH)";"305";"02";"1499230.73"
"2022";"010115";"Gossau (ZH)";"305";"12";"46368.30"
"2022";"010115";"Gossau (ZH)";"305";"14";"84338.17"
"2022";"010115";"Gossau (ZH)";"305";"15";"2961.80"
"2022";"010115";"Gossau (ZH)";"305";"16";"12155.85"
"2022";"010115";"Gossau (ZH)";"305";"21";"561720.90"
"2022";"010115";"Gossau (ZH)";"305";"43";"1683.95"
"2022";"010115";"Gossau (ZH)";"305";"54";"5100.00"
"2022";"010115";"Gossau (ZH)";"305";"57";"165568.95"
"2022";"010115";"Gossau (ZH)";"305";"61";"98655.00"
"2022";"010115";"Gossau (ZH)";"305";"72";"29850.00"
"2022";"010115";"Gossau (ZH)";"305";"73";"17310.00"
"2022";"010115";"Gossau (ZH)";"305";"81";"2850.00"
"2022";"010115";"Gossau (ZH)";"309";"01";"5358.00"
"2022";"010115";"Gossau (ZH)";"309";"02";"252258.82"
"2022";"010115";"Gossau (ZH)";"309";"12";"500.00"
"2022";"010115";"Gossau (ZH)";"309";"15";"18497.60"
"2022";"010115";"Gossau (ZH)";"309";"21";"182196.19"
"2022";"010115";"Gossau (ZH)";"310";"01";"48444.85"
"2022";"010115";"Gossau (ZH)";"310";"02";"422862.73"
"2022";"010115";"Gossau (ZH)";"310";"12";"4184.80"
"2022";"010115";"Gossau (ZH)";"310";"14";"2886.80"
"2022";"010115";"Gossau (ZH)";"310";"15";"17079.60"
"2022";"010115";"Gossau (ZH)";"310";"16";"2678.90"
