"jahr";"nr";"gemeinde";"konto";"funktion";"betrag"
"2022";"010298";"Wiesendangen";"100";"";"4992292.28"
"2022";"010298";"Wiesendangen";"101";"";"5781479.34"
"2022";"010298";"Wiesendangen";"107";"";"3000000.00"
"2022";"010298";"Wiesendangen";"108";"";"34073677.05"
"2022";"010298";"Wiesendangen";"140";"";"40471166.33"
"2022";"010298";"Wiesendangen";"142";"";"132167.19"
"2022";"010298";"Wiesendangen";"144";"";"48000.00"
"2022";"010298";"Wiesendangen";"145";"";"2805865.00"
"2022";"010298";"Wiesendangen";"146";"";"282590.17"
"2022";"010298";"Wiesendangen";"200";"";"5256336.25"
"2022";"010298";"Wiesendangen";"201";"";"10000000.00"
"2022";"010298";"Wiesendangen";"204";"";"80413.90"
"2022";"010298";"Wiesendangen";"205";"";"869161.60"
"2022";"010298";"Wiesendangen";"206";"";"11000000.00"
"2022";"010298";"Wiesendangen";"209";"";"311227.59"
"2022";"010298";"Wiesendangen";"290";"";"2843950.35"
"2022";"010298";"Wiesendangen";"292";"";"529779.95"
"2022";"010298";"Wiesendangen";"299";"";"60696367.72"
"2022";"010298";"Wiesendangen";"300";"01";"201045.40"
"2022";"010298";"Wiesendangen";"300";"15";"27055.00"
"2022";"010298";"Wiesendangen";"300";"21";"114330.00"
"2022";"010298";"Wiesendangen";"300";"31";"13000.00"
"2022";"010298";"Wiesendangen";"300";"33";"25934.20"
"2022";"010298";"Wiesendangen";"300";"43";"420.00"
"2022";"010298";"Wiesendangen";"300";"75";"1400.55"
"2022";"010298";"Wiesendangen";"300";"87";"560.00"
"2022";"010298";"Wiesendangen";"301";"02";"853359.70"
"2022";"010298";"Wiesendangen";"301";"12";"10800.00"
"2022";"010298";"Wiesendangen";"301";"14";"337802.50"
"2022";"010298";"Wiesendangen";"301";"15";"141227.10"
"2022";"010298";"Wiesendangen";"301";"21";"986677.65"
"2022";"010298";"Wiesendangen";"301";"31";"4483.05"
"2022";"010298";"Wiesendangen";"301";"32";"136333.45"
"2022";"010298";"Wiesendangen";"301";"34";"377255.65"
"2022";"010298";"Wiesendangen";"301";"43";"12784.95"
"2022";"010298";"Wiesendangen";"301";"49";"43424.55"
"2022";"010298";"Wiesendangen";"301";"53";"16800.00"
"2022";"010298";"Wiesendangen";"301";"54";"102254.80"
"2022";"010298";"Wiesendangen";"301";"57";"287442.00"
"2022";"010298";"Wiesendangen";"301";"61";"552416.10"
"2022";"010298";"Wiesendangen";"301";"71";"107499.85"
"2022";"010298";"Wiesendangen";"301";"72";"1891.50"
"2022";"010298";"Wiesendangen";"301";"73";"14756.55"
"2022";"010298";"Wiesendangen";"301";"77";"2177.10"
"2022";"010298";"Wiesendangen";"301";"81";"4510.00"
"2022";"010298";"Wiesendangen";"301";"96";"10455.85"
"2022";"010298";"Wiesendangen";"302";"21";"847042.50"
"2022";"010298";"Wiesendangen";"303";"15";"3165.00"
"2022";"010298";"Wiesendangen";"303";"21";"24026.10"
