"arten","funk","jahr","value","dim","unit"
"100","","2021","136275003.43","bilanz","CHF"
"101","","2021","1184901318.84","bilanz","CHF"
"102","","2021","","bilanz","CHF"
"104","","2021","30911162.88","bilanz","CHF"
"106","","2021","355619.49","bilanz","CHF"
"107","","2021","195000","bilanz","CHF"
"108","","2021","50586590.4","bilanz","CHF"
"109","","2021","","bilanz","CHF"
"140","","2021","118718202.84","bilanz","CHF"
"141","","2021","","bilanz","CHF"
"142","","2021","","bilanz","CHF"
"143","","2021","","bilanz","CHF"
"144","","2021","93943562.4","bilanz","CHF"
"145","","2021","54075131","bilanz","CHF"
"146","","2021","","bilanz","CHF"
"147","","2021","","bilanz","CHF"
"148","","2021","","bilanz","CHF"
"200","","2021","327969111.53","bilanz","CHF"
"201","","2021","","bilanz","CHF"
"204","","2021","108008551.76","bilanz","CHF"
"205","","2021","21781188.63","bilanz","CHF"
"206","","2021","213076022","bilanz","CHF"
"207","","2021","","bilanz","CHF"
"208","","2021","23178595.5","bilanz","CHF"
"209","","2021","41729644.96","bilanz","CHF"
"290","","2021","227841520.85","bilanz","CHF"
"292","","2021","","bilanz","CHF"
"293","","2021","","bilanz","CHF"
"294","","2021","","bilanz","CHF"
"295","","2021","","bilanz","CHF"
"296","","2021","","bilanz","CHF"
"298","","2021","","bilanz","CHF"
"299","","2021","706376956.05","bilanz","CHF"
"300","","2021","3958280.2","aufwand","CHF"
"301","","2021","145276241.64","aufwand","CHF"
"302","","2021","45504064.72","aufwand","CHF"
"303","","2021","2380510.5","aufwand","CHF"
"304","","2021","4040204","aufwand","CHF"
"305","","2021","36142606.78","aufwand","CHF"
"306","","2021","1760010.75","aufwand","CHF"
"309","","2021","3380273.74","aufwand","CHF"
"310","","2021","5130819.79","aufwand","CHF"
"311","","2021","9410731.11","aufwand","CHF"
"312","","2021","2564668.05","aufwand","CHF"
"313","","2021","37982417.45","aufwand","CHF"
"314","","2021","20320078.19","aufwand","CHF"
"315","","2021","11925312.57","aufwand","CHF"
"316","","2021","7869489.19","aufwand","CHF"
"317","","2021","2738589.02","aufwand","CHF"
"318","","2021","3111628.2","aufwand","CHF"
"319","","2021","3305749.11","aufwand","CHF"
"320","","2021","","aufwand","CHF"
"331","","2021","","aufwand","CHF"
"337","","2021","26405746.15","aufwand","CHF"
"338","","2021","","aufwand","CHF"
"340","","2021","616071.76","aufwand","CHF"
"341","","2021","","aufwand","CHF"
"342","","2021","295738.79","aufwand","CHF"
"343","","2021","","aufwand","CHF"
"344","","2021","","aufwand","CHF"
"349","","2021","1932019.69","aufwand","CHF"
"350","","2021","16758246.54","aufwand","CHF"
"351","","2021","19763052.76","aufwand","CHF"
"352","","2021","","aufwand","CHF"
"3600","","2021","","aufwand","CHF"
"36010","","2021","","aufwand","CHF"
"36011","","2021","","aufwand","CHF"
"36012","","2021","","aufwand","CHF"
"36013","","2021","","aufwand","CHF"
"36014","","2021","","aufwand","CHF"
"36015","","2021","","aufwand","CHF"
"36016","","2021","","aufwand","CHF"
"36017","","2021","","aufwand","CHF"
"36018","","2021","","aufwand","CHF"
"36019","","2021","","aufwand","CHF"
"36021","","2021","","aufwand","CHF"
"36022","","2021","1157357.3","aufwand","CHF"
"36023","","2021","","aufwand","CHF"
"36029","","2021","9212000","aufwand","CHF"
"3603","","2021","","aufwand","CHF"
"3604","","2021","","aufwand","CHF"
"3610","","2021","","aufwand","CHF"
"3611","","2021","12393862.7","aufwand","CHF"
"3612","","2021","1523715.95","aufwand","CHF"
"3613","","2021","","aufwand","CHF"
"3614","","2021","","aufwand","CHF"
"3620","","2021","","aufwand","CHF"
"36211","","2021","204774800","aufwand","CHF"
"36212","","2021","","aufwand","CHF"
"36213","","2021","","aufwand","CHF"
"36214","","2021","1445061","aufwand","CHF"
"36215","","2021","","aufwand","CHF"
"36216","","2021","","aufwand","CHF"
"36217","","2021","","aufwand","CHF"
"36219","","2021","","aufwand","CHF"
"36221","","2021","","aufwand","CHF"
"36222","","2021","","aufwand","CHF"
"36223","","2021","","aufwand","CHF"
"36224","","2021","","aufwand","CHF"
"36225","","2021","1.1e+07","aufwand","CHF"
"36226","","2021","2.5e+07","aufwand","CHF"
"36227","","2021","","aufwand","CHF"
"36228","","2021","","aufwand","CHF"
"3624","","2021","","aufwand","CHF"
"3629","","2021","","aufwand","CHF"
"3630","","2021","","aufwand","CHF"
