"jahr";"nr";"gemeinde";"konto";"funktion";"betrag"
"2018";"204946";"Weinfelden";"100";"";"12897311.40"
"2018";"204946";"Weinfelden";"101";"";"8871764.77"
"2018";"204946";"Weinfelden";"104";"";"905904.05"
"2018";"204946";"Weinfelden";"106";"";"13162.75"
"2018";"204946";"Weinfelden";"107";"";"515000.00"
"2018";"204946";"Weinfelden";"108";"";"13257823.00"
"2018";"204946";"Weinfelden";"140";"";"64649981.45"
"2018";"204946";"Weinfelden";"145";"";"5000000.00"
"2018";"204946";"Weinfelden";"200";"";"11776784.20"
"2018";"204946";"Weinfelden";"201";"";"8150000.00"
"2018";"204946";"Weinfelden";"204";"";"2557774.35"
"2018";"204946";"Weinfelden";"205";"";"171038.14"
"2018";"204946";"Weinfelden";"206";"";"37200000.00"
"2018";"204946";"Weinfelden";"209";"";"2262858.23"
"2018";"204946";"Weinfelden";"290";"";"5653970.03"
"2018";"204946";"Weinfelden";"293";"";"8358144.31"
"2018";"204946";"Weinfelden";"296";"";"7068944.00"
"2018";"204946";"Weinfelden";"299";"";"22911434.16"
"2018";"204946";"Weinfelden";"300";"01";"57196.60"
"2018";"204946";"Weinfelden";"300";"02";"12330.50"
"2018";"204946";"Weinfelden";"300";"14";"1071.55"
"2018";"204946";"Weinfelden";"300";"15";"4226.60"
"2018";"204946";"Weinfelden";"300";"16";"7299.85"
"2018";"204946";"Weinfelden";"300";"21";"310623.55"
"2018";"204946";"Weinfelden";"300";"32";"3706.65"
"2018";"204946";"Weinfelden";"300";"34";"2918.45"
"2018";"204946";"Weinfelden";"300";"43";"1972.85"
"2018";"204946";"Weinfelden";"300";"54";"3211.20"
"2018";"204946";"Weinfelden";"300";"57";"8845.75"
"2018";"204946";"Weinfelden";"300";"61";"8242.00"
"2018";"204946";"Weinfelden";"300";"77";"514.60"
"2018";"204946";"Weinfelden";"300";"81";"592.35"
"2018";"204946";"Weinfelden";"300";"84";"7795.90"
"2018";"204946";"Weinfelden";"301";"01";"436466.60"
"2018";"204946";"Weinfelden";"301";"02";"1923835.10"
"2018";"204946";"Weinfelden";"301";"11";"27625.00"
"2018";"204946";"Weinfelden";"301";"14";"1062041.59"
"2018";"204946";"Weinfelden";"301";"15";"435212.35"
"2018";"204946";"Weinfelden";"301";"16";"210211.00"
"2018";"204946";"Weinfelden";"301";"21";"2546007.30"
"2018";"204946";"Weinfelden";"301";"32";"22723.80"
"2018";"204946";"Weinfelden";"301";"34";"1177234.61"
"2018";"204946";"Weinfelden";"301";"43";"17596.00"
"2018";"204946";"Weinfelden";"301";"54";"23590.00"
"2018";"204946";"Weinfelden";"301";"55";"3210.35"
"2018";"204946";"Weinfelden";"301";"57";"388042.70"
"2018";"204946";"Weinfelden";"301";"61";"673828.96"
"2018";"204946";"Weinfelden";"301";"62";"17000.00"
"2018";"204946";"Weinfelden";"301";"71";"7160.02"
"2018";"204946";"Weinfelden";"301";"72";"29208.59"
"2018";"204946";"Weinfelden";"301";"73";"172289.23"
"2018";"204946";"Weinfelden";"301";"74";"71943.41"
"2018";"204946";"Weinfelden";"301";"75";"5100.00"
"2018";"204946";"Weinfelden";"301";"76";"4250.00"
"2018";"204946";"Weinfelden";"301";"77";"82238.30"
"2018";"204946";"Weinfelden";"301";"79";"96750.00"
"2018";"204946";"Weinfelden";"301";"81";"3314.15"
"2018";"204946";"Weinfelden";"301";"84";"18700.00"
"2018";"204946";"Weinfelden";"301";"85";"35304.75"
"2018";"204946";"Weinfelden";"301";"96";"52700.00"
"2018";"204946";"Weinfelden";"302";"21";"11859239.10"
"2018";"204946";"Weinfelden";"304";"02";"16537.50"
"2018";"204946";"Weinfelden";"304";"14";"11115.00"
"2018";"204946";"Weinfelden";"304";"15";"3150.00"
"2018";"204946";"Weinfelden";"304";"16";"810.00"
"2018";"204946";"Weinfelden";"304";"21";"172742.90"
"2018";"204946";"Weinfelden";"304";"32";"1215.00"
"2018";"204946";"Weinfelden";"304";"34";"11801.25"
