"jahr";"nr";"gemeinde";"konto";"funktion";"betrag"
"2021";"112579";"Hägendorf";"100";"";"2677723.21"
"2021";"112579";"Hägendorf";"101";"";"6335264.71"
"2021";"112579";"Hägendorf";"107";"";"1335680.00"
"2021";"112579";"Hägendorf";"108";"";"2109700.00"
"2021";"112579";"Hägendorf";"140";"";"21289913.81"
"2021";"112579";"Hägendorf";"142";"";"223411.87"
"2021";"112579";"Hägendorf";"144";"";"15000.00"
"2021";"112579";"Hägendorf";"145";"";"122650.75"
"2021";"112579";"Hägendorf";"200";"";"3558273.69"
"2021";"112579";"Hägendorf";"201";"";"2000000.00"
"2021";"112579";"Hägendorf";"204";"";"427628.00"
"2021";"112579";"Hägendorf";"206";"";"11621327.70"
"2021";"112579";"Hägendorf";"209";"";"486454.85"
"2021";"112579";"Hägendorf";"290";"";"5893915.04"
"2021";"112579";"Hägendorf";"296";"";"296213.90"
"2021";"112579";"Hägendorf";"299";"";"9825531.17"
"2021";"112579";"Hägendorf";"300";"01";"148203.00"
"2021";"112579";"Hägendorf";"300";"02";"12250.00"
"2021";"112579";"Hägendorf";"300";"12";"2000.00"
"2021";"112579";"Hägendorf";"300";"32";"12246.00"
"2021";"112579";"Hägendorf";"300";"77";"18050.00"
"2021";"112579";"Hägendorf";"300";"81";"330.00"
"2021";"112579";"Hägendorf";"301";"02";"880570.00"
"2021";"112579";"Hägendorf";"301";"14";"41662.00"
"2021";"112579";"Hägendorf";"301";"21";"515115.00"
"2021";"112579";"Hägendorf";"301";"32";"27004.05"
"2021";"112579";"Hägendorf";"301";"34";"170807.50"
"2021";"112579";"Hägendorf";"301";"61";"44437.00"
"2021";"112579";"Hägendorf";"301";"71";"241697.50"
"2021";"112579";"Hägendorf";"301";"72";"58140.00"
"2021";"112579";"Hägendorf";"301";"73";"48067.50"
"2021";"112579";"Hägendorf";"301";"74";"382.50"
"2021";"112579";"Hägendorf";"301";"77";"137827.50"
"2021";"112579";"Hägendorf";"302";"21";"3994086.80"
"2021";"112579";"Hägendorf";"305";"01";"17355.05"
"2021";"112579";"Hägendorf";"305";"02";"213441.80"
"2021";"112579";"Hägendorf";"305";"14";"7352.95"
"2021";"112579";"Hägendorf";"305";"21";"1065451.55"
"2021";"112579";"Hägendorf";"305";"32";"4804.55"
"2021";"112579";"Hägendorf";"305";"34";"30142.50"
"2021";"112579";"Hägendorf";"305";"61";"46554.65"
"2021";"112579";"Hägendorf";"305";"71";"42652.50"
"2021";"112579";"Hägendorf";"305";"72";"10260.00"
"2021";"112579";"Hägendorf";"305";"73";"8482.50"
"2021";"112579";"Hägendorf";"305";"74";"67.50"
"2021";"112579";"Hägendorf";"305";"77";"25658.70"
"2021";"112579";"Hägendorf";"309";"02";"6405.55"
"2021";"112579";"Hägendorf";"309";"21";"36561.90"
"2021";"112579";"Hägendorf";"309";"61";"6723.70"
"2021";"112579";"Hägendorf";"310";"01";"19188.65"
"2021";"112579";"Hägendorf";"310";"02";"35279.40"
"2021";"112579";"Hägendorf";"310";"21";"215688.23"
"2021";"112579";"Hägendorf";"310";"32";"12126.80"
"2021";"112579";"Hägendorf";"310";"34";"4498.95"
"2021";"112579";"Hägendorf";"310";"43";"1506.55"
"2021";"112579";"Hägendorf";"310";"61";"67886.21"
"2021";"112579";"Hägendorf";"310";"71";"10825.55"
"2021";"112579";"Hägendorf";"310";"72";"109.15"
"2021";"112579";"Hägendorf";"310";"73";"5074.10"
"2021";"112579";"Hägendorf";"310";"77";"1059.15"
"2021";"112579";"Hägendorf";"310";"79";"299.10"
"2021";"112579";"Hägendorf";"311";"02";"22623.00"
"2021";"112579";"Hägendorf";"311";"21";"136713.05"
"2021";"112579";"Hägendorf";"311";"61";"27527.00"
"2021";"112579";"Hägendorf";"311";"71";"10649.30"
"2021";"112579";"Hägendorf";"311";"72";"515.75"
"2021";"112579";"Hägendorf";"311";"73";"2003.10"
"2021";"112579";"Hägendorf";"311";"77";"872.60"
"2021";"112579";"Hägendorf";"312";"02";"5230.75"
"2021";"112579";"Hägendorf";"312";"16";"4674.15"
"2021";"112579";"Hägendorf";"312";"21";"117202.65"
"2021";"112579";"Hägendorf";"312";"34";"48348.95"
"2021";"112579";"Hägendorf";"312";"61";"55005.15"
"2021";"112579";"Hägendorf";"312";"71";"20761.55"
"2021";"112579";"Hägendorf";"312";"77";"18483.76"
"2021";"112579";"Hägendorf";"313";"01";"63405.20"
"2021";"112579";"Hägendorf";"313";"02";"219203.83"
"2021";"112579";"Hägendorf";"313";"16";"303.00"
"2021";"112579";"Hägendorf";"313";"21";"265068.70"
"2021";"112579";"Hägendorf";"313";"32";"52530.07"
"2021";"112579";"Hägendorf";"313";"34";"38963.65"
"2021";"112579";"Hägendorf";"313";"43";"31444.20"
"2021";"112579";"Hägendorf";"313";"61";"180191.15"
"2021";"112579";"Hägendorf";"313";"71";"111829.70"
"2021";"112579";"Hägendorf";"313";"72";"458673.05"
"2021";"112579";"Hägendorf";"313";"73";"373605.80"
"2021";"112579";"Hägendorf";"313";"77";"605.60"
"2021";"112579";"Hägendorf";"313";"79";"27622.95"
"2021";"112579";"Hägendorf";"314";"02";"94552.69"
"2021";"112579";"Hägendorf";"314";"16";"1552.40"
"2021";"112579";"Hägendorf";"314";"21";"152453.65"
"2021";"112579";"Hägendorf";"314";"32";"14287.20"
"2021";"112579";"Hägendorf";"314";"34";"96263.45"
"2021";"112579";"Hägendorf";"314";"61";"131782.30"
"2021";"112579";"Hägendorf";"314";"71";"213976.08"
"2021";"112579";"Hägendorf";"314";"72";"121794.05"
"2021";"112579";"Hägendorf";"314";"77";"18749.85"
"2021";"112579";"Hägendorf";"315";"02";"6194.20"
"2021";"112579";"Hägendorf";"315";"21";"7288.40"
"2021";"112579";"Hägendorf";"315";"34";"212.20"
"2021";"112579";"Hägendorf";"315";"61";"57531.75"
"2021";"112579";"Hägendorf";"315";"71";"8109.15"
"2021";"112579";"Hägendorf";"315";"77";"140.75"
"2021";"112579";"Hägendorf";"316";"02";"174000.00"
"2021";"112579";"Hägendorf";"316";"21";"32066.90"
"2021";"112579";"Hägendorf";"316";"77";"4956.50"
"2021";"112579";"Hägendorf";"317";"01";"18448.53"
"2021";"112579";"Hägendorf";"317";"02";"2707.30"
"2021";"112579";"Hägendorf";"317";"21";"43533.50"
"2021";"112579";"Hägendorf";"317";"53";"-1000.00"
"2021";"112579";"Hägendorf";"317";"61";"316.50"
"2021";"112579";"Hägendorf";"317";"77";"420.00"
"2021";"112579";"Hägendorf";"317";"85";"3227.72"
"2021";"112579";"Hägendorf";"318";"73";"78.00"
"2021";"112579";"Hägendorf";"318";"91";"85080.20"
"2021";"112579";"Hägendorf";"319";"01";"121.60"
"2021";"112579";"Hägendorf";"319";"21";"3056.01"
"2021";"112579";"Hägendorf";"319";"62";"28000.00"
"2021";"112579";"Hägendorf";"319";"71";"19707.65"
"2021";"112579";"Hägendorf";"337";"99";"1161412.09"
"2021";"112579";"Hägendorf";"340";"96";"118530.60"
"2021";"112579";"Hägendorf";"351";"32";"15000.00"
"2021";"112579";"Hägendorf";"351";"71";"261198.88"
"2021";"112579";"Hägendorf";"351";"72";"144766.83"
"2021";"112579";"Hägendorf";"351";"73";"79729.95"
"2021";"112579";"Hägendorf";"361";"02";"293272.65"
"2021";"112579";"Hägendorf";"361";"16";"48763.45"
"2021";"112579";"Hägendorf";"361";"21";"2939391.90"
"2021";"112579";"Hägendorf";"361";"34";"1150.00"
"2021";"112579";"Hägendorf";"361";"43";"1079.05"
"2021";"112579";"Hägendorf";"361";"57";"233892.65"
"2021";"112579";"Hägendorf";"361";"77";"16854.90"
"2021";"112579";"Hägendorf";"362";"93";"610600.00"
"2021";"112579";"Hägendorf";"363";"01";"9500.00"
"2021";"112579";"Hägendorf";"363";"21";"760.00"
"2021";"112579";"Hägendorf";"363";"22";"345286.00"
"2021";"112579";"Hägendorf";"363";"32";"16320.00"
"2021";"112579";"Hägendorf";"363";"34";"70911.60"
"2021";"112579";"Hägendorf";"363";"41";"637666.35"
"2021";"112579";"Hägendorf";"363";"42";"165601.48"
"2021";"112579";"Hägendorf";"363";"43";"87652.00"
"2021";"112579";"Hägendorf";"363";"53";"1674595.75"
"2021";"112579";"Hägendorf";"363";"54";"344826.45"
"2021";"112579";"Hägendorf";"363";"57";"1882073.93"
"2021";"112579";"Hägendorf";"363";"61";"3058.20"
"2021";"112579";"Hägendorf";"363";"62";"334172.60"
"2021";"112579";"Hägendorf";"363";"73";"6896.10"
"2021";"112579";"Hägendorf";"363";"74";"1304.05"
"2021";"112579";"Hägendorf";"363";"75";"42267.95"
"2021";"112579";"Hägendorf";"363";"81";"4861.10"
"2021";"112579";"Hägendorf";"363";"82";"25790.00"
"2021";"112579";"Hägendorf";"383";"99";"300000.00"
"2021";"112579";"Hägendorf";"400";"91";"15301845.41"
"2021";"112579";"Hägendorf";"401";"91";"1403232.90"
"2021";"112579";"Hägendorf";"402";"91";"933191.70"
"2021";"112579";"Hägendorf";"403";"91";"44140.00"
"2021";"112579";"Hägendorf";"412";"87";"67794.10"
"2021";"112579";"Hägendorf";"421";"02";"63597.94"
"2021";"112579";"Hägendorf";"421";"14";"49014.95"
"2021";"112579";"Hägendorf";"424";"34";"113031.00"
"2021";"112579";"Hägendorf";"424";"61";"13150.00"
"2021";"112579";"Hägendorf";"424";"62";"23645.00"
"2021";"112579";"Hägendorf";"424";"71";"1091960.36"
"2021";"112579";"Hägendorf";"424";"72";"663322.80"
"2021";"112579";"Hägendorf";"424";"73";"494865.90"
"2021";"112579";"Hägendorf";"424";"77";"21531.00"
"2021";"112579";"Hägendorf";"425";"73";"748.00"
"2021";"112579";"Hägendorf";"426";"02";"216014.50"
"2021";"112579";"Hägendorf";"426";"21";"16900.50"
"2021";"112579";"Hägendorf";"426";"32";"10000.00"
"2021";"112579";"Hägendorf";"426";"73";"15679.20"
"2021";"112579";"Hägendorf";"439";"32";"700.00"
"2021";"112579";"Hägendorf";"440";"96";"78787.25"
"2021";"112579";"Hägendorf";"442";"96";"3334.00"
"2021";"112579";"Hägendorf";"443";"96";"48420.65"
"2021";"112579";"Hägendorf";"444";"96";"277940.00"
"2021";"112579";"Hägendorf";"445";"02";"54817.07"
"2021";"112579";"Hägendorf";"447";"02";"34560.00"
"2021";"112579";"Hägendorf";"447";"21";"10494.00"
"2021";"112579";"Hägendorf";"448";"02";"36000.00"
"2021";"112579";"Hägendorf";"450";"16";"28555.50"
"2021";"112579";"Hägendorf";"451";"32";"30972.85"
"2021";"112579";"Hägendorf";"451";"72";"96192.76"
"2021";"112579";"Hägendorf";"461";"02";"6500.60"
"2021";"112579";"Hägendorf";"461";"72";"13927.60"
"2021";"112579";"Hägendorf";"462";"93";"670100.00"
