"jahr";"nr";"gemeinde";"konto";"funktion";"betrag"
"2021";"010160";"Zumikon";"100";"";"15234852.47"
"2021";"010160";"Zumikon";"101";"";"11482032.32"
"2021";"010160";"Zumikon";"104";"";"212698.58"
"2021";"010160";"Zumikon";"106";"";"11000.00"
"2021";"010160";"Zumikon";"107";"";"5525700.00"
"2021";"010160";"Zumikon";"108";"";"34847750.00"
"2021";"010160";"Zumikon";"140";"";"61190151.53"
"2021";"010160";"Zumikon";"142";"";"579268.50"
"2021";"010160";"Zumikon";"144";"";"3850000.00"
"2021";"010160";"Zumikon";"145";"";"24200.00"
"2021";"010160";"Zumikon";"146";"";"7023489.83"
"2021";"010160";"Zumikon";"200";"";"36642520.72"
"2021";"010160";"Zumikon";"201";"";"20134047.90"
"2021";"010160";"Zumikon";"204";"";"40312.50"
"2021";"010160";"Zumikon";"205";"";"184588.85"
"2021";"010160";"Zumikon";"208";"";"1400000.00"
"2021";"010160";"Zumikon";"209";"";"1900773.25"
"2021";"010160";"Zumikon";"290";"";"12132011.01"
"2021";"010160";"Zumikon";"299";"";"67546889.00"
"2021";"010160";"Zumikon";"300";"01";"259336.30"
"2021";"010160";"Zumikon";"300";"02";"6125.00"
"2021";"010160";"Zumikon";"300";"15";"35430.00"
"2021";"010160";"Zumikon";"300";"21";"108899.00"
"2021";"010160";"Zumikon";"300";"57";"21550.00"
"2021";"010160";"Zumikon";"301";"02";"1974544.75"
"2021";"010160";"Zumikon";"301";"11";"290261.95"
"2021";"010160";"Zumikon";"301";"12";"21721.15"
"2021";"010160";"Zumikon";"301";"14";"575952.80"
"2021";"010160";"Zumikon";"301";"15";"250628.75"
"2021";"010160";"Zumikon";"301";"21";"1055130.80"
"2021";"010160";"Zumikon";"301";"32";"139471.80"
"2021";"010160";"Zumikon";"301";"34";"886609.95"
"2021";"010160";"Zumikon";"301";"43";"6400.90"
"2021";"010160";"Zumikon";"301";"57";"290281.40"
"2021";"010160";"Zumikon";"301";"61";"463297.60"
"2021";"010160";"Zumikon";"301";"71";"59024.00"
"2021";"010160";"Zumikon";"301";"72";"476.00"
"2021";"010160";"Zumikon";"301";"73";"38059.60"
"2021";"010160";"Zumikon";"301";"77";"15300.00"
"2021";"010160";"Zumikon";"301";"82";"41507.20"
"2021";"010160";"Zumikon";"302";"21";"2536289.85"
"2021";"010160";"Zumikon";"303";"02";"39331.75"
