"jahr";"nr";"gemeinde";"konto";"funktion";"betrag"
"2021";"194289";"Zofingen";"100";"";"24056136.52"
"2021";"194289";"Zofingen";"101";"";"17728997.72"
"2021";"194289";"Zofingen";"104";"";"3559039.71"
"2021";"194289";"Zofingen";"107";"";"10000683.00"
"2021";"194289";"Zofingen";"108";"";"25886097.45"
"2021";"194289";"Zofingen";"140";"";"211434304.84"
"2021";"194289";"Zofingen";"142";"";"330705.59"
"2021";"194289";"Zofingen";"145";"";"4355001.00"
"2021";"194289";"Zofingen";"146";"";"3655177.40"
"2021";"194289";"Zofingen";"200";"";"17057563.48"
"2021";"194289";"Zofingen";"201";"";"12500000.00"
"2021";"194289";"Zofingen";"204";"";"7723335.70"
"2021";"194289";"Zofingen";"205";"";"664690.00"
"2021";"194289";"Zofingen";"206";"";"77625848.04"
"2021";"194289";"Zofingen";"208";"";"2732290.74"
"2021";"194289";"Zofingen";"209";"";"1550108.31"
"2021";"194289";"Zofingen";"290";"";"24700228.53"
"2021";"194289";"Zofingen";"295";"";"62280962.00"
"2021";"194289";"Zofingen";"299";"";"94171116.43"
"2021";"194289";"Zofingen";"300";"01";"527677.20"
"2021";"194289";"Zofingen";"300";"02";"1440.00"
"2021";"194289";"Zofingen";"300";"11";"780.00"
"2021";"194289";"Zofingen";"300";"16";"660.00"
"2021";"194289";"Zofingen";"300";"21";"60000.00"
"2021";"194289";"Zofingen";"301";"01";"81327.87"
"2021";"194289";"Zofingen";"301";"02";"2220645.91"
"2021";"194289";"Zofingen";"301";"11";"4092390.03"
"2021";"194289";"Zofingen";"301";"14";"1879055.95"
"2021";"194289";"Zofingen";"301";"15";"467172.98"
"2021";"194289";"Zofingen";"301";"16";"282136.55"
"2021";"194289";"Zofingen";"301";"21";"1421870.78"
"2021";"194289";"Zofingen";"301";"22";"117857.98"
"2021";"194289";"Zofingen";"301";"31";"138.30"
"2021";"194289";"Zofingen";"301";"32";"966622.26"
"2021";"194289";"Zofingen";"301";"34";"816407.62"
"2021";"194289";"Zofingen";"301";"42";"484.41"
"2021";"194289";"Zofingen";"301";"43";"14431.50"
"2021";"194289";"Zofingen";"301";"49";"31099.32"
"2021";"194289";"Zofingen";"301";"53";"153649.51"
"2021";"194289";"Zofingen";"301";"54";"741162.17"
"2021";"194289";"Zofingen";"301";"57";"1140515.90"
"2021";"194289";"Zofingen";"301";"61";"885255.45"
"2021";"194289";"Zofingen";"301";"62";"7039.53"
"2021";"194289";"Zofingen";"301";"71";"20314.65"
"2021";"194289";"Zofingen";"301";"72";"197164.02"
"2021";"194289";"Zofingen";"301";"73";"158424.13"
"2021";"194289";"Zofingen";"301";"75";"121642.84"
"2021";"194289";"Zofingen";"301";"77";"28239.90"
"2021";"194289";"Zofingen";"301";"79";"15754.50"
"2021";"194289";"Zofingen";"301";"84";"310622.66"
"2021";"194289";"Zofingen";"301";"96";"32742.89"
"2021";"194289";"Zofingen";"302";"21";"1568721.55"
"2021";"194289";"Zofingen";"302";"22";"1248455.95"
"2021";"194289";"Zofingen";"302";"23";"5825642.45"
"2021";"194289";"Zofingen";"305";"01";"105679.78"
"2021";"194289";"Zofingen";"305";"02";"435463.18"
"2021";"194289";"Zofingen";"305";"11";"741778.75"
"2021";"194289";"Zofingen";"305";"14";"332722.92"
"2021";"194289";"Zofingen";"305";"15";"38292.26"
"2021";"194289";"Zofingen";"305";"16";"54648.17"
"2021";"194289";"Zofingen";"305";"21";"509710.45"
"2021";"194289";"Zofingen";"305";"22";"333774.31"
"2021";"194289";"Zofingen";"305";"23";"1028054.55"
"2021";"194289";"Zofingen";"305";"31";"24.41"
"2021";"194289";"Zofingen";"305";"32";"173699.54"
"2021";"194289";"Zofingen";"305";"34";"140414.47"
"2021";"194289";"Zofingen";"305";"42";"85.48"
"2021";"194289";"Zofingen";"305";"43";"1076.40"
"2021";"194289";"Zofingen";"305";"49";"6352.48"
"2021";"194289";"Zofingen";"305";"53";"34184.59"
